Feature ID,Segment Identifier,Assessment Year,Tool Type,Upstream Reference Girth Weld,Distance to Upstream Girth Weld,Absolute Distance,Distance to Downstream Girth Weld,Feature Type,Feature Identification,Surface Location,Comment,Feature Orientation,Peak Depth of Corrosion or Crack Anomaly,Peak Depth of Dent Anomaly,Length of Anomaly,Width of Anomaly,Psafe,Pburst,Pburst/MAOP,Half Life Corrosion Growth Rate,Bend Radius,Long Seam Orientation,Feature Milepost,HCA,MAOP,Pipe O.D.,Pipe Wall Thickness,SMYS,100% SMYS,Maximum Operating Stress,Safety Factor for Original DOT Design Class Location,Installation Year,"Actual Tool Speed",Maximum Allowable Tool Speed,"ILI Vendor","Tool Run Date","Distance from Upstream Girth Weld to Upstream Reference","Distance from Upstream Girth Weld to Downstream Reference","Upstream Reference Description",Downstream Reference Description,Latitude,Longitude,Z Coordinate
16200,Greenville to Peters II,2015,GMFL,16200,38.05,57903.0,39.69,COMP,Girth weld,,Girth Weld - 16200,,,,,,,,,,,,10.97,,850,10.75,0.250,42000,1407,60.43,0.72,0,5.00,,T.D. Williamson,4/29/2015,6613.1,3941.6,AGM 12,Valve,38.79012635,-89.58847993,530.9
16210,Greenville to Peters II,2015,GMFL,16210,39.69,57942.7,39.64,COMP,Girth weld,,Girth Weld - 16210,,,,,,,,,,,,10.97,,850,10.75,0.250,42000,1407,60.43,0.72,0,5.00,,T.D. Williamson,4/29/2015,6651.2,3903.6,AGM 12,Valve,38.79004351,-89.58857047,530.6
16220,Greenville to Peters II,2015,GMFL,16220,39.64,57982.3,39.72,COMP,Girth weld,,Girth Weld - 16220,,,,,,,,,,,,10.98,,850,10.75,0.250,42000,1407,60.43,0.72,0,5.10,,T.D. Williamson,4/29/2015,6690.9,3863.9,AGM 12,Valve,38.78996075,-89.58866088,530.4
16230,Greenville to Peters II,2015,GMFL,16230,39.72,58022.1,39.65,COMP,Girth weld,,Girth Weld - 16230,,,,,,,,,,,,10.99,,850,10.75,0.250,42000,1407,60.43,0.72,0,5.00,,T.D. Williamson,4/29/2015,6730.5,3824.2,AGM 12,Valve,38.78987757,-89.58875106,530.6
16240,Greenville to Peters II,2015,GMFL,16240,39.65,58061.7,39.70,COMP,Girth weld,,Girth Weld - 16240,,,,,,,,,,,,11.00,,850,10.75,0.250,42000,1407,60.43,0.72,0,4.80,,T.D. Williamson,4/29/2015,6770.2,3784.5,AGM 12,Valve,38.78979466,-89.58884129,530.8
16250,Greenville to Peters II,2015,GMFL,16250,39.70,58101.4,39.67,COMP,Girth weld,,Girth Weld - 16250,,,,,,,,,,,,11.00,,850,10.75,0.250,42000,1407,60.43,0.72,0,4.90,,T.D. Williamson,4/29/2015,6809.9,3744.9,AGM 12,Valve,38.78971191,-89.58893204,530.9
16260,Greenville to Peters II,2015,GMFL,16260,39.67,58141.1,39.73,COMP,Girth weld,,Girth Weld - 16260,,,,,,,,,,,,11.01,,850,10.75,0.250,42000,1407,60.43,0.72,0,5.20,,T.D. Williamson,4/29/2015,6849.6,3705.1,AGM 12,Valve,38.78962906,-89.58902245,530.8
16270,Greenville to Peters II,2015,GMFL,16270,39.73,58180.8,39.68,COMP,Girth weld,,Girth Weld - 16270,,,,,,,,,,,,11.02,,850,10.75,0.250,42000,1407,60.43,0.72,0,5.00,,T.D. Williamson,4/29/2015,6889.3,3665.5,AGM 12,Valve,38.78954602,-89.58911292,530.7
16280,Greenville to Peters II,2015,GMFL,16280,39.68,58220.5,39.66,COMP,Girth weld,,Girth Weld - 16280,,,,,,,,,,,,11.03,,850,10.75,0.250,42000,1407,60.43,0.72,0,5.00,,T.D. Williamson,4/29/2015,6929.0,3625.7,AGM 12,Valve,38.78946304,-89.58920322,530.8
16290,Greenville to Peters II,2015,GMFL,16290,39.66,58260.2,39.70,COMP,Girth weld,,Girth Weld - 16290,,,,,,,,,,,,11.03,,850,10.75,0.250,42000,1407,60.43,0.72,0,4.90,,T.D. Williamson,4/29/2015,6968.7,3586.1,AGM 12,Valve,38.78938007,-89.58929342,530.5
16300,Greenville to Peters II,2015,GMFL,16300,39.70,58299.9,39.72,COMP,Girth weld,,Girth Weld - 16300,,,,,,,,,,,,11.04,,850,10.75,0.250,42000,1407,60.43,0.72,0,4.90,,T.D. Williamson,4/29/2015,7008.4,3546.4,AGM 12,Valve,38.78929708,-89.58938379,530.3
16300,Greenville to Peters II,2015,GMFL,16300,7.94,58307.8,31.78,ANOM,Corrosion Cluster,EXT,Metal Loss,9:00,9,,0.5,0.6,1406.5,2144.7,2.52,0.0022,,,11.04,,850,10.75,0.250,42000,1407,60.43,0.72,0,5.10,6.80,T.D. Williamson,4/29/2015,7048.1,3506.7,AGM 12,Valve,38.78928044,-89.58940194,530.3
16310,Greenville to Peters II,2015,GMFL,16310,39.72,58339.6,39.72,COMP,Girth weld,,Girth Weld - 16310,,,,,,,,,,,,11.05,,850,10.75,0.250,42000,1407,60.43,0.72,0,4.80,,T.D. Williamson,4/29/2015,7048.1,3506.7,AGM 12,Valve,38.78921423,-89.58947449,530.4
16320,Greenville to Peters II,2015,GMFL,16320,39.72,58379.3,38.46,COMP,Girth weld,,Girth Weld - 16320,,,,,,,,,,,,11.06,,850,10.75,0.250,42000,1407,60.43,0.72,0,5.20,,T.D. Williamson,4/29/2015,7087.8,3467.0,AGM 12,Valve,38.78913128,-89.58956503,530.4
16320,Greenville to Peters II,2015,GMFL,16320,7.93,58387.2,30.52,ANOM,Corrosion Cluster,EXT,Metal Loss,8:15,6,,0.4,0.6,1406.5,2146.6,2.53,0.0015,,,11.06,,850,10.75,0.250,42000,1407,60.43,0.72,0,5.40,6.80,T.D. Williamson,4/29/2015,7127.5,3427.3,AGM 12,Valve,38.78911468,-89.58958316,530.3
16330,Greenville to Peters II,2015,GMFL,16330,38.46,58417.8,39.66,COMP,Girth weld,,Girth Weld - 16330,,,,,,,,,,,,11.06,,850,10.75,0.250,42000,1407,60.43,0.72,0,5.00,,T.D. Williamson,4/29/2015,7127.5,3427.3,AGM 12,Valve,38.78905098,-89.58965269,530.4
16340,Greenville to Peters II,2015,GMFL,16340,39.66,58457.4,39.63,COMP,Girth weld,,Girth Weld - 16340,,,,,,,,,,,,11.07,,850,10.75,0.250,42000,1407,60.43,0.72,0,4.80,,T.D. Williamson,4/29/2015,7166.0,3388.8,AGM 12,Valve,38.78896796,-89.58974282,530.5
16350,Greenville to Peters II,2015,GMFL,16350,39.63,58497.1,39.68,COMP,Girth weld,,Girth Weld - 16350,,,,,,,,,,,,11.08,,850,10.75,0.250,42000,1407,60.43,0.72,0,4.90,,T.D. Williamson,4/29/2015,7205.6,3349.1,AGM 12,Valve,38.78888544,-89.58983353,530.6
16360,Greenville to Peters II,2015,GMFL,16360,39.68,58536.7,38.13,COMP,Girth weld,,Girth Weld - 16360,,,,,,,,,,,,11.09,,850,10.75,0.250,42000,1407,60.43,0.72,0,5.00,,T.D. Williamson,4/29/2015,7245.2,3309.5,AGM 12,Valve,38.78880279,-89.58992432,530.8
16370,Greenville to Peters II,2015,GMFL,16370,38.13,58574.9,39.78,COMP,Girth weld,,Girth Weld - 16370,,,,,,,,,,,,11.09,,850,10.75,0.250,42000,1407,60.43,0.72,0,5.00,,T.D. Williamson,4/29/2015,7284.9,3269.8,AGM 12,Valve,38.78872329,-89.59001142,530.6
16380,Greenville to Peters II,2015,GMFL,16380,39.78,58614.6,39.82,COMP,Girth weld,,Girth Weld - 16380,,,,,,,,,,,,11.10,,850,10.75,0.250,42000,1407,60.43,0.72,0,5.10,,T.D. Williamson,4/29/2015,7323.1,3231.7,AGM 12,Valve,38.78864032,-89.59010226,530.4
16380,Greenville to Peters II,2015,GMFL,16380,18.37,58633.1,21.45,ADME,Gain,,Gain - 44 Gauss,7:15,,,,0.0,,,,,,,11.10,,850,10.75,0.250,42000,1407,60.43,0.72,0,5.20,,T.D. Williamson,4/29/2015,7362.8,3191.9,AGM 12,Valve,38.78860184,-89.59014419,530.4
16390,Greenville to Peters II,2015,GMFL,16390,39.82,58654.5,39.78,COMP,Girth weld,,Girth Weld - 16390,,,,,,,,,,,,11.11,,850,10.75,0.250,42000,1407,60.43,0.72,0,5.00,,T.D. Williamson,4/29/2015,7362.8,3191.9,AGM 12,Valve,38.78855708,-89.59019290,530.5
16400,Greenville to Peters II,2015,GMFL,16400,39.78,58694.2,39.58,COMP,Girth weld,,Girth Weld - 16400,,,,,,,,,,,,11.12,,850,10.75,0.250,42000,1407,60.43,0.72,0,5.10,,T.D. Williamson,4/29/2015,7402.7,3152.1,AGM 12,Valve,38.78847391,-89.59028342,530.3
16400,Greenville to Peters II,2015,GMFL,16400,15.80,58710.0,23.78,ANOM,Corrosion Cluster,EXT,Metal Loss,6:30,10,,0.6,0.9,1406.5,2142.1,2.52,0.0025,,,11.12,,850,10.75,0.250,42000,1407,60.43,0.72,0,5.00,6.80,T.D. Williamson,4/29/2015,7442.4,3112.3,AGM 12,Valve,38.78844080,-89.59031942,530.2
16410,Greenville to Peters II,2015,GMFL,16410,39.58,58733.8,39.52,COMP,Girth weld,,Girth Weld - 16410,,,,,,,,,,,,11.12,,850,10.75,0.250,42000,1407,60.43,0.72,0,4.80,,T.D. Williamson,4/29/2015,7442.4,3112.3,AGM 12,Valve,38.78839131,-89.59037376,530.2
16420,Greenville to Peters II,2015,GMFL,16420,39.52,58773.3,39.68,COMP,Girth weld,,Girth Weld - 16420,,,,,,,,,,,,11.13,,850,10.75,0.250,42000,1407,60.43,0.72,0,5.00,,T.D. Williamson,4/29/2015,7482.0,3072.7,AGM 12,Valve,38.78830906,-89.59046421,529.9
16430,Greenville to Peters II,2015,GMFL,16430,39.68,58813.0,39.73,COMP,Girth weld,,Girth Weld - 16430,,,,,,,,,,,,11.14,,850,10.75,0.250,42000,1407,60.43,0.72,0,4.80,,T.D. Williamson,4/29/2015,7521.5,3033.2,AGM 12,Valve,38.78822605,-89.59055443,529.5
16440,Greenville to Peters II,2015,GMFL,16440,39.73,58852.8,27.85,COMP,Girth weld,,Girth Weld - 16440,,,,,,,,,,,,11.15,,850,10.75,0.250,42000,1407,60.43,0.72,0,5.00,,T.D. Williamson,4/29/2015,7561.2,2993.5,AGM 12,Valve,38.78814271,-89.59064447,529.6
16450,Greenville to Peters II,2015,GMFL,16450,27.85,58880.6,39.74,COMP,Girth weld,,Girth Weld - 16450,,,,,,,,,,,,11.15,,850,10.75,0.250,42000,1407,60.43,0.72,0,5.30,,T.D. Williamson,4/29/2015,7601.0,2953.8,AGM 12,Valve,38.78808461,-89.59070801,530.0
16460,Greenville to Peters II,2015,GMFL,16460,39.74,58920.4,30.16,COMP,Girth weld,,Girth Weld - 16460,,,,,,,,,,,,11.16,,850,10.75,0.250,42000,1407,60.43,0.72,0,5.00,,T.D. Williamson,4/29/2015,7628.8,2925.9,AGM 12,Valve,38.78800221,-89.59079948,529.7
16470,Greenville to Peters II,2015,GMFL,16470,30.16,58950.5,37.56,COMP,Girth weld,,Girth Weld - 16470,,,,,,,,,,,,11.16,,850,10.75,0.250,42000,1407,60.43,0.72,0,5.00,,T.D. Williamson,4/29/2015,7668.5,2886.2,AGM 12,Valve,38.78793970,-89.59086891,529.6
16480,Greenville to Peters II,2015,GMFL,16480,37.56,58988.1,39.75,COMP,Girth weld,,Girth Weld - 16480,,,,,,,,,,,,11.17,,850,10.75,0.250,42000,1407,60.43,0.72,0,5.00,,T.D. Williamson,4/29/2015,7698.7,2856.0,AGM 12,Valve,38.78786151,-89.59095491,529.3
16490,Greenville to Peters II,2015,GMFL,16490,39.75,59027.8,39.69,COMP,Girth weld,,Girth Weld - 16490,,,,,,,,,,,,11.18,,850,10.75,0.250,42000,1407,60.43,0.72,0,5.00,,T.D. Williamson,4/29/2015,7736.3,2818.5,AGM 12,Valve,38.78777771,-89.59104433,529.2
16490,Greenville to Peters II,2015,GMFL,16490,21.88,59049.7,17.82,ANOM,Corrosion Cluster,EXT,Metal Loss,5:45,9,,0.8,0.6,1406.5,2136.7,2.51,0.0022,,,11.18,,850,10.75,0.250,42000,1407,60.43,0.72,0,5.20,6.80,T.D. Williamson,4/29/2015,7776.0,2778.7,AGM 12,Valve,38.78773101,-89.59109281,529.2
16490,Greenville to Peters II,2015,GMFL,16490,22.04,59049.9,17.65,ANOM,Corrosion Cluster,EXT,Metal Loss,5:45,14,,1.4,1.0,1406.5,2105.6,2.48,0.0035,,,11.18,,850,10.75,0.250,42000,1407,60.43,0.72,0,5.20,6.80,T.D. Williamson,4/29/2015,7776.0,2778.7,AGM 12,Valve,38.78773061,-89.59109322,529.2
16500,Greenville to Peters II,2015,GMFL,16500,39.69,59067.5,39.79,COMP,Girth weld,,Girth Weld - 16500,,,,,,,,,,,,11.19,,850,10.75,0.250,42000,1407,60.43,0.72,0,5.00,,T.D. Williamson,4/29/2015,7776.0,2778.7,AGM 12,Valve,38.78769331,-89.59113249,529.1
16510,Greenville to Peters II,2015,GMFL,16510,39.79,59107.3,39.69,COMP,Girth weld,,Girth Weld - 16510,,,,,,,,,,,,11.19,,850,10.75,0.250,42000,1407,60.43,0.72,0,5.10,,T.D. Williamson,4/29/2015,7815.7,2739.0,AGM 12,Valve,38.78761008,-89.59122299,529.1
