blanks
77,520,41.32,41.38,41.32,1338.82,Girth Weld,,,,,,,,ERW,0.280,X35,8.625,715,,,,,33.67341231,-118.01689306,27.63,,,,,
78,530,28.61,41.32,28.61,1380.14,Girth Weld,,,,,,,,ERW,0.280,X35,8.625,715,,,,,33.67352191,-118.01687239,26.58,,,,,
79,540,39.81,28.61,39.81,1408.75,Girth Weld,,,,,,,,ERW,0.280,X35,8.625,715,,,,,33.67359750,-118.01685813,25.64,,,,,
80,550,27.02,39.81,27.02,1448.56,Girth Weld,,,,,,,,ERW,0.280,X35,8.625,715,,,,,33.67370272,-118.01683621,26.57,,,,,
81,550,27.02,4.72,22.30,1453.28,Bend,,,,,,11:26,5.7° 48.1D Sag Cold Bend,ERW,0.280,X35,8.625,715,,,,,33.67371521,-118.01683364,26.66,,,,,
82,550,27.02,19.32,7.70,1467.89,Bend,,,,,,05:25,5.3° 52.9D Over Cold Bend,ERW,0.280,X35,8.625,715,,,,,33.67375381,-118.01682663,28.13,,,,,
83,550,27.02,21.11,5.91,1469.67,Metal Loss Group,Internal,19,0.053,0.4,2.3,06:09,,ERW,0.280,X35,8.625,715,,0.341,2097,2913,33.67375852,-118.01682567,28.18,,,,,
84,560,43.15,27.02,43.15,1475.58,Girth Weld,,,,,,,,ERW,0.280,X35,8.625,715,,,,,33.67377423,-118.01682244,28.24,,,,,
85,570,39.77,43.15,39.77,1518.73,Girth Weld,,,,,,,,ERW,0.280,X35,8.625,715,,,,,33.67388900,-118.01680244,28.50,,,,,
86,570,39.77,30.91,8.86,1549.64,Bend,,,,,,08:46,3.3° 69.7D Left Cold Bend,ERW,0.280,X35,8.625,715,,,,,33.67397137,-118.01679471,28.43,,,,,
87,580,41.05,39.77,41.05,1558.50,Girth Weld,,,,,,,,ERW,0.280,X35,8.625,715,,,,,33.67399541,-118.01679393,28.39,,,,,
88,580,41.05,15.22,25.84,1573.72,Bend,,,,,,06:33,5° 59D Over Cold Bend,ERW,0.280,X35,8.625,715,,,,,33.67403591,-118.01679277,28.32,,,,,
89,580,41.05,30.91,10.15,1589.41,Bend,,,,,,00:21,9.2° 34D Sag Cold Bend,ERW,0.280,X35,8.625,715,,,,,33.67407795,-118.01679246,27.06,,,,,
90,590,43.08,41.05,43.08,1599.56,Girth Weld,,,,,,,,ERW,0.280,X35,8.625,715,,,,,33.67410512,-118.01679109,27.71,,,,,
91,590,43.08,4.38,38.70,1603.93,Bend,,,,,,06:38,6.2° 44.9D Over Cold Bend,ERW,0.280,X35,8.625,715,,,,,33.67411671,-118.01679047,28.03,,,,,
92,590,43.08,6.36,36.72,1605.91,Metal Loss,Internal,12,0.034,0.5,0.7,06:45,,ERW,0.280,X35,8.625,715,,0.341,2096,2911,33.67412213,-118.01679035,28.00,,,,,
93,590,43.08,7.55,35.53,1607.11,Metal Loss,Internal,16,0.045,0.7,0.9,06:44,,ERW,0.280,X35,8.625,715,,0.343,2085,2895,33.67412543,-118.01679028,27.98,,,,,
94,590,43.08,28.75,14.33,1628.31,Bend,,,,,,00:39,5.7° 41.5D Sag Cold Bend,ERW,0.280,X35,8.625,715,,,,,33.67418204,-118.01678914,27.63,,,,,
95,600,1.95,43.08,1.95,1642.63,Girth Weld,,,,,,,,Elbow,,,8.625,715,,,,,33.67422030,-118.01678670,28.79,,,,,
96,600,1.95,1.00,0.95,1643.64,Bend,,,,,,03:12,60° 3D Right Forged Bend,Elbow,,,8.625,715,,,,,33.67422303,-118.01678607,28.87,,,,,
97,610,1.25,1.95,1.25,1644.58,Girth Weld,,,,,,,,ERW,0.280,X35,8.625,715,,,,,33.67422498,-118.01678425,28.90,,,,,
98,620,34.11,1.25,34.11,1645.83,Girth Weld,,,,,,,,SMLS,0.250,X35,8.625,715,,,,,33.67422688,-118.01678111,28.91,,,,,
99,620,34.11,1.12,32.99,1646.95,Tap,,,,,,00:28,,SMLS,0.250,X35,8.625,715,,,,,33.67422856,-118.01677817,28.93,,,,,
100,630,46.55,34.11,46.55,1679.94,Girth Weld,,,,,,,,SMLS,0.250,X35,8.625,715,,,,,33.67427873,-118.01669046,29.41,,,,,
101,630,46.55,34.74,11.82,1714.68,Metal Loss,External,15,0.038,0.5,0.8,03:15,,SMLS,0.250,X35,8.625,715,,0.382,1870,2597,33.67433076,-118.01659904,29.86,,,,,
102,640,13.20,46.55,13.20,1726.49,Girth Weld,,,,,,,,SMLS,0.250,X35,8.625,715,,,,,33.67434883,-118.01656723,30.02,,,,,
103,650,1.12,13.20,1.12,1739.69,Girth Weld,,,,,,,,ERW,0.219,X35,8.625,715,,,,,33.67436858,-118.01653220,30.04,,,,,
104,660,1.93,1.12,1.93,1740.81,Girth Weld,,,,,,,,Elbow,,,8.625,715,,,,,33.67437034,-118.01652909,30.04,,,,,
105,660,1.93,0.98,0.96,1741.79,Bend,,,,,,08:50,60° 3D Left Forged Bend,Elbow,,,8.625,715,,,,,33.67437231,-118.01652693,29.99,,,,,
106,670,27.34,1.93,27.34,1742.75,Girth Weld,,,,,,,,ERW,0.219,X35,8.625,715,,,,,33.67437461,-118.01652608,29.93,,,,,
107,670,27.34,18.57,8.78,1761.31,Metal Loss,External,14,0.031,0.6,1.0,02:57,,ERW,0.219,X35,8.625,715,,0.438,1634,2269,33.67442450,-118.01652574,28.74,,,,,
108,680,41.56,27.34,41.56,1770.09,Girth Weld,,,,,,,,ERW,0.219,X35,8.625,715,,,,,33.67444786,-118.01652569,28.35,,,,,
109,680,41.56,5.19,36.37,1775.28,AGM 1,,,,,,,64' D/S of Morning Tide Drive - 2' U/S of Metal Fence,ERW,0.219,X35,8.625,715,,,,,33.67446186,-118.01652570,28.19,,,,,
110,690,41.45,41.56,41.45,1811.64,Girth Weld,,,,,,,,ERW,0.219,X35,8.625,715,,,,,33.67455958,-118.01652542,28.00,,,,,
111,700,3.35,41.45,3.35,1853.09,Girth Weld,,,,,,,,Elbow,,,8.625,715,,,,,33.67467050,-118.01652394,27.77,,,,,
112,700,3.35,1.63,1.72,1854.72,Bend,,,,,,02:54,90° 3D Right Forged Bend,Elbow,,,8.625,715,,,,,33.67467467,-118.01652244,27.77,,,,,
113,710,6.93,3.35,6.93,1856.44,Girth Weld,,,,,,,,ERW,0.219,X35,8.625,715,,,,,33.67467670,-118.01651784,27.80,,,,,
114,720,41.10,6.93,41.10,1863.38,Girth Weld,,,,,,,,ERW,0.219,X35,8.625,715,,,,,33.67467629,-118.01649542,28.11,,,,,
115,730,41.55,41.10,41.55,1904.47,Girth Weld,,,,,,,,ERW,0.219,X35,8.625,715,,,,,33.67467128,-118.01636372,29.98,,,,,
116,740,41.42,41.55,41.42,1946.02,Girth Weld,,,,,,,,ERW,0.219,X35,8.625,715,,,,,33.67466413,-118.01623076,32.54,,,,,
117,750,21.85,41.42,21.85,1987.44,Girth Weld,,,,,,,,ERW,0.219,X35,8.625,715,,,,,33.67465694,-118.01609842,34.43,,,,,
118,760,1.28,21.85,1.28,2009.29,Girth Weld,,,,,,,,Elbow,,,8.625,715,,,,,33.67465381,-118.01602843,35.76,,,,,
119,760,1.28,0.67,0.62,2009.96,Bend,,,,,,08:53,30° 3D Left Forged Bend,Elbow,,,8.625,715,,,,,33.67465385,-118.01602615,35.80,,,,,
120,770,1.17,1.28,1.17,2010.58,Girth Weld,,,,,,,,ERW,0.219,X35,8.625,715,,,,,33.67465437,-118.01602432,35.83,,,,,
121,780,11.49,1.17,11.49,2011.75,Girth Weld,,,,,,,,SMLS,0.280,X35,8.625,715,,,,,33.67465589,-118.01602131,35.88,,,,,
122,790,46.43,11.49,46.43,2023.24,Girth Weld,,,,,,,,SMLS,0.280,X35,8.625,715,,,,,33.67467315,-118.01599057,36.20,,,,,
123,790,46.43,0.29,46.14,2023.53,Metal Loss,External,17,0.048,0.6,1.1,08:52,,SMLS,0.280,X35,8.625,715,,0.342,2089,2901,33.67467356,-118.01598983,36.21,,,,,
124,800,45.63,46.43,45.63,2069.68,Girth Weld,,,,,,,,SMLS,0.280,X35,8.625,715,,,,,33.67474374,-118.01586716,37.09,,,,,
125,800,45.63,7.84,37.79,2077.52,Metal Loss,External,17,0.048,0.8,0.8,04:52,,SMLS,0.280,X35,8.625,715,,0.344,2079,2887,33.67475554,-118.01584645,37.21,,,,,
126,800,45.63,8.01,37.62,2077.69,Metal Loss Group,External,21,0.059,2.8,4.4,06:21,,SMLS,0.280,X35,8.625,715,,0.371,1925,2673,33.67475582,-118.01584596,37.21,,,,,
127,800,45.63,8.35,37.28,2078.03,Metal Loss Group,External,21,0.059,1.5,1.9,07:35,,SMLS,0.280,X35,8.625,715,,0.355,2013,2795,33.67475630,-118.01584510,37.22,,,,,
128,800,45.63,9.09,36.54,2078.77,Metal Loss,External,14,0.039,0.3,0.6,08:00,,SMLS,0.280,X35,8.625,715,,0.340,2100,2917,33.67475737,-118.01584322,37.23,,,,,
129,800,45.63,9.21,36.42,2078.89,Metal Loss,External,19,0.053,0.6,0.6,07:56,,SMLS,0.280,X35,8.625,715,,0.343,2085,2896,33.67475757,-118.01584288,37.23,,,,,
130,800,45.63,9.44,36.19,2079.11,Metal Loss Group,External,20,0.056,1.4,6.3,05:32,,SMLS,0.280,X35,8.625,715,,0.353,2024,2811,33.67475792,-118.01584226,37.23,,,,,
131,800,45.63,9.57,36.06,2079.25,Metal Loss,External,18,0.050,0.5,0.6,11:42,,SMLS,0.280,X35,8.625,715,,0.342,2090,2903,33.67475813,-118.01584189,37.23,,,,,
