ID,Feature,Wheel Countft,Sta. Num.ft,Depth,WTin,SMYS,Lengthin,Widthin,Orientation clock,P MOD B31G   psi,ERF MOD B31GMOPP, of max. est. oper. press PMOPbased on 1150,Dist from US weldft,Dist from DS weldft,US AGM,Dist to US AGM ft,DS AGM,Dist to DS AGM ft,Joint Lengthft,Comments,LAT,LON,ALTITUDE
40014255,GROUP,22948.07,228+81,16%,0.219,52000,0.77,0.99,12:30,1525,0.75000,100.000%,16.58,30.47,"AGM 3, Sta. 200+00, 6' W OF C/L OF BLINN/ N. LANE",2781.00,"Valve (Receiver), Sta. 230+60, P66 Refinery",173.25,47.05,Metal Loss External,33.80092121,-118.24601556,26.950
40014256,GROUP,22950.15,228+83,15%,0.219,52000,0.96,0.87,9:30,1525,0.75000,100.000%,18.67,28.38,"AGM 3, Sta. 200+00, 6' W OF C/L OF BLINN/ N. LANE",2783.09,"Valve (Receiver), Sta. 230+60, P66 Refinery",171.17,47.05,Metal Loss External,33.80092586,-118.24601954,26.820
40014257,GROUP,22951.25,228+84,11%,0.219,52000,0.54,0.51,6:00,1525,0.75000,100.000%,19.77,27.28,"AGM 3, Sta. 200+00, 6' W OF C/L OF BLINN/ N. LANE",2784.19,"Valve (Receiver), Sta. 230+60, P66 Refinery",170.06,47.05,Metal Loss Internal,33.80092832,-118.24602164,26.750
40014258,GROUP,22951.76,228+84,25%,0.219,52000,1.04,0.83,9:45,1525,0.75000,100.000%,20.28,26.78,"AGM 3, Sta. 200+00, 6' W OF C/L OF BLINN/ N. LANE",2784.70,"Valve (Receiver), Sta. 230+60, P66 Refinery",169.56,47.05,Metal Loss External,33.80092945,-118.24602260,26.720
40014259,GROUP,22952.49,228+85,14%,0.219,52000,1.06,1.02,11:15,1525,0.75000,100.000%,21.01,26.05,"AGM 3, Sta. 200+00, 6' W OF C/L OF BLINN/ N. LANE",2785.43,"Valve (Receiver), Sta. 230+60, P66 Refinery",168.83,47.05,Metal Loss External,33.80093108,-118.24602399,26.670
40014260,GROUP,22958.45,228+91,17%,0.219,52000,0.67,0.41,6:00,1525,0.75000,100.000%,26.97,20.08,"AGM 3, Sta. 200+00, 6' W OF C/L OF BLINN/ N. LANE",2791.39,"Valve (Receiver), Sta. 230+60, P66 Refinery",162.86,47.05,Metal Loss Internal,33.80094441,-118.24603537,26.400
40014261,GROUP,22968.31,229+02,14%,0.219,52000,0.55,0.41,6:00,1525,0.75000,100.000%,36.83,10.22,"AGM 3, Sta. 200+00, 6' W OF C/L OF BLINN/ N. LANE",2801.25,"Valve (Receiver), Sta. 230+60, P66 Refinery",153.00,47.05,Metal Loss Internal,33.80096644,-118.24605423,26.230
40014262,GROUP,22968.49,229+02,12%,0.219,52000,0.65,0.47,6:00,1525,0.75000,100.000%,37.01,10.05,"AGM 3, Sta. 200+00, 6' W OF C/L OF BLINN/ N. LANE",2801.43,"Valve (Receiver), Sta. 230+60, P66 Refinery",152.83,47.05,Metal Loss Internal,33.80096683,-118.24605457,26.230
40014263,GROUP,22969.61,229+03,10%,0.219,52000,0.51,0.33,5:45,1525,0.75000,100.000%,38.12,8.93,"AGM 3, Sta. 200+00, 6' W OF C/L OF BLINN/ N. LANE",2802.54,"Valve (Receiver), Sta. 230+60, P66 Refinery",151.71,47.05,Metal Loss Internal,33.80096933,-118.24605671,26.230
40014264,GROUP,22969.81,229+03,13%,0.219,52000,0.61,0.44,6:00,1525,0.75000,100.000%,38.33,8.73,"AGM 3, Sta. 200+00, 6' W OF C/L OF BLINN/ N. LANE",2802.75,"Valve (Receiver), Sta. 230+60, P66 Refinery",151.51,47.05,Metal Loss Internal,33.80096978,-118.24605710,26.230
40014265,GROUP,22972.53,229+06,14%,0.219,52000,2.29,2.45,6:00,1525,0.75000,100.000%,41.04,6.01,"AGM 3, Sta. 200+00, 6' W OF C/L OF BLINN/ N. LANE",2805.47,"Valve (Receiver), Sta. 230+60, P66 Refinery",148.79,47.05,Metal Loss Internal,33.80097584,-118.24606231,26.260
40014266,GROUP,22972.85,229+06,34%,0.219,52000,5.95,3.62,6:00,1425,0.81000,100.000%,41.36,5.69,"AGM 3, Sta. 200+00, 6' W OF C/L OF BLINN/ N. LANE",2805.79,"Valve (Receiver), Sta. 230+60, P66 Refinery",148.47,47.05,Metal Loss Internal,33.80097656,-118.24606293,26.270
40014267,GROUP,22973.60,229+07,11%,0.219,52000,0.46,0.33,6:15,1525,0.75000,100.000%,42.12,4.93,"AGM 3, Sta. 200+00, 6' W OF C/L OF BLINN/ N. LANE",2806.54,"Valve (Receiver), Sta. 230+60, P66 Refinery",147.71,47.05,Metal Loss Internal,33.80097824,-118.24606438,26.280
40014268,GROUP,22973.76,229+07,11%,0.219,52000,0.90,0.84,6:15,1525,0.75000,100.000%,42.28,4.77,"AGM 3, Sta. 200+00, 6' W OF C/L OF BLINN/ N. LANE",2806.70,"Valve (Receiver), Sta. 230+60, P66 Refinery",147.56,47.05,Metal Loss Internal,33.80097859,-118.24606468,26.280
40014269,GROUP,22974.02,229+07,16%,0.219,52000,0.77,0.57,5:45,1525,0.75000,100.000%,42.54,4.51,"AGM 3, Sta. 200+00, 6' W OF C/L OF BLINN/ N. LANE",2806.96,"Valve (Receiver), Sta. 230+60, P66 Refinery",147.30,47.05,Metal Loss Internal,33.80097917,-118.24606518,26.290
40014270,GROUP,22974.22,229+08,14%,0.219,52000,1.86,0.62,6:30,1525,0.75000,100.000%,42.74,4.31,"AGM 3, Sta. 200+00, 6' W OF C/L OF BLINN/ N. LANE",2807.16,"Valve (Receiver), Sta. 230+60, P66 Refinery",147.10,47.05,Metal Loss Internal,33.80097961,-118.24606556,26.290
40014271,GROUP,22974.27,229+08,25%,0.219,52000,1.69,0.60,5:45,1525,0.75000,100.000%,42.78,4.27,"AGM 3, Sta. 200+00, 6' W OF C/L OF BLINN/ N. LANE",2807.20,"Valve (Receiver), Sta. 230+60, P66 Refinery",147.05,47.05,Metal Loss Internal,33.80097972,-118.24606565,26.290
40014272,GROUP,22974.66,229+08,19%,0.219,52000,3.81,1.75,6:00,1525,0.75000,100.000%,43.17,3.88,"AGM 3, Sta. 200+00, 6' W OF C/L OF BLINN/ N. LANE",2807.59,"Valve (Receiver), Sta. 230+60, P66 Refinery",146.66,47.05,Metal Loss Internal,33.80098058,-118.24606640,26.300
40014273,GROUP,22975.05,229+08,17%,0.219,52000,0.70,1.37,6:00,1525,0.75000,100.000%,43.56,3.49,"AGM 3, Sta. 200+00, 6' W OF C/L OF BLINN/ N. LANE",2807.98,"Valve (Receiver), Sta. 230+60, P66 Refinery",146.27,47.05,Metal Loss Internal,33.80098145,-118.24606715,26.310
40014274,GROUP,22975.53,229+09,12%,0.219,52000,1.15,1.45,6:00,1525,0.75000,100.000%,44.05,3.00,"AGM 3, Sta. 200+00, 6' W OF C/L OF BLINN/ N. LANE",2808.47,"Valve (Receiver), Sta. 230+60, P66 Refinery",145.78,47.05,Metal Loss Internal,33.80098255,-118.24606808,26.320
40014275,GROUP,22975.77,229+09,11%,0.219,52000,1.60,0.65,5:45,1525,0.75000,100.000%,44.29,2.77,"AGM 3, Sta. 200+00, 6' W OF C/L OF BLINN/ N. LANE",2808.71,"Valve (Receiver), Sta. 230+60, P66 Refinery",145.55,47.05,Metal Loss Internal,33.80098307,-118.24606854,26.320
40014276,GROUP,22976.22,229+10,14%,0.219,52000,1.05,0.78,5:45,1525,0.75000,100.000%,44.74,2.31,"AGM 3, Sta. 200+00, 6' W OF C/L OF BLINN/ N. LANE",2809.16,"Valve (Receiver), Sta. 230+60, P66 Refinery",145.10,47.05,Metal Loss Internal,33.80098408,-118.24606940,26.330
40014277,GROUP,22976.45,229+10,13%,0.219,52000,0.70,0.44,6:00,1525,0.75000,100.000%,44.97,2.08,"AGM 3, Sta. 200+00, 6' W OF C/L OF BLINN/ N. LANE",2809.39,"Valve (Receiver), Sta. 230+60, P66 Refinery",144.86,47.05,Metal Loss Internal,33.80098459,-118.24606985,26.340
40014278,GROUP,22976.86,229+10,22%,0.219,52000,3.35,1.61,6:00,1525,0.75000,100.000%,45.38,1.67,"AGM 3, Sta. 200+00, 6' W OF C/L OF BLINN/ N. LANE",2809.80,"Valve (Receiver), Sta. 230+60, P66 Refinery",144.45,47.05,Metal Loss Internal,33.80098551,-118.24607064,26.350
40014279,GROUP,22977.53,229+11,12%,0.219,52000,0.77,0.75,6:00,1525,0.75000,100.000%,46.05,1.00,"AGM 3, Sta. 200+00, 6' W OF C/L OF BLINN/ N. LANE",2810.47,"Valve (Receiver), Sta. 230+60, P66 Refinery",143.79,47.05,Metal Loss Internal,33.80098700,-118.24607191,26.370
