ItemNumber,JointNumber,JointLengthft,DisttoUSGWft,DisttoDSGWft,AbsoluteDistanceft,Feature,ExtInt,Depth,Depthin,Lengthin,Widthin,Oclockhhmm,Comments,PipeType,WTin,PipeGrade,PipeODin,MOP,LongSeam,ERF,SafeBurstPressure,BurstPressure,Latitudedeg,Longitudedeg,Elevationft
74,530,29.16,42.72,29.16,1389.64,Girth Weld,,,,,,,,ERW,0.280,X35,8.625,715,,,,,33.67354561,-118.01687824,35.14
75,540,44.02,29.16,44.02,1418.80,Girth Weld,,,,,,,,ERW,0.280,X35,8.625,715,,,,,33.67362402,-118.01686403,34.33
76,550,27.27,44.02,27.27,1462.82,Girth Weld,,,,,,,,ERW,0.280,X35,8.625,715,,,,,33.67373732,-118.01684101,35.60
77,550,27.27,4.77,22.50,1467.59,Bend,,,,,,11:26,5.5° 44.9D Sag Cold Bend,ERW,0.280,X35,8.625,715,,,,,33.67375125,-118.01683824,35.74
78,550,27.27,19.48,7.79,1482.30,Bend,,,,,,05:25,5.4° 43.4D Over Cold Bend,ERW,0.280,X35,8.625,715,,,,,33.67378990,-118.01683139,37.20
79,560,43.78,27.27,43.78,1490.09,Girth Weld,,,,,,,,ERW,0.280,X35,8.625,715,,,,,33.67381126,-118.01682711,37.32
80,570,39.99,43.78,39.99,1533.87,Girth Weld,,,,,,,,ERW,0.280,X35,8.625,715,,,,,33.67392537,-118.01680747,37.59
81,570,39.99,31.23,8.76,1565.10,Bend,,,,,,08:42,3.2° 59.8D Left Cold Bend,ERW,0.280,X35,8.625,715,,,,,33.67400891,-118.01679955,37.52
82,580,39.30,39.99,39.30,1573.86,Girth Weld,,,,,,,,ERW,0.280,X35,8.625,715,,,,,33.67403231,-118.01679874,37.48
83,580,39.30,14.87,24.43,1588.73,Bend,,,,,,06:34,5° 50.5D Over Cold Bend,ERW,0.280,X35,8.625,715,,,,,33.67407195,-118.01679748,37.40
84,580,39.30,29.59,9.71,1603.45,Bend,,,,,,00:21,9.3° 31.6D Sag Cold Bend,ERW,0.280,X35,8.625,715,,,,,33.67411105,-118.01679692,36.30
85,590,44.33,39.30,44.33,1613.16,Girth Weld,,,,,,,,ERW,0.280,X35,8.625,715,,,,,33.67413817,-118.01679531,36.94
86,590,44.33,4.42,39.90,1617.58,Bend,,,,,,06:40,6° 40.6D Over Cold Bend,ERW,0.280,X35,8.625,715,,,,,33.67414859,-118.01679469,37.20
87,590,44.33,29.38,14.95,1642.54,Bend,,,,,,00:38,5.4° 42.9D Sag Cold Bend,ERW,0.280,X35,8.625,715,,,,,33.67421513,-118.01679280,36.80
88,600,1.77,44.33,1.77,1657.48,Girth Weld,,,,,,,,Elbow,,,8.625,715,,,,,33.67425482,-118.01678996,37.95
89,600,1.77,0.95,0.83,1658.43,Bend,,,,,,03:12,60° 3D Right Forged Bend,Elbow,,,8.625,715,,,,,33.67425717,-118.01678887,38.00
90,610,1.19,1.77,1.19,1659.26,Girth Weld,,,,,,,,ERW,0.280,X35,8.625,715,,,,,33.67425866,-118.01678708,38.02
91,620,35.40,1.19,35.40,1660.45,Girth Weld,,,,,,,,SMLS,0.250,X35,8.625,715,,,,,33.67426052,-118.01678386,38.03
92,620,35.40,1.11,34.29,1661.56,Tap,,,,,,00:35,,SMLS,0.250,X35,8.625,715,,,,,33.67426215,-118.01678093,38.04
93,630,46.87,35.40,46.87,1695.85,Girth Weld,,,,,,,,SMLS,0.250,X35,8.625,715,,,,,33.67431309,-118.01668961,38.32
94,640,12.75,46.87,12.75,1742.72,Girth Weld,,,,,,,,SMLS,0.250,X35,8.625,715,,,,,33.67438194,-118.01656569,38.62
95,650,1.12,12.75,1.12,1755.47,Girth Weld,,,,,,,,ERW,0.219,X35,8.625,715,,,,,33.67440104,-118.01653105,38.57
96,660,1.66,1.12,1.66,1756.59,Girth Weld,,,,,,,,Elbow,,,8.625,715,,,,,33.67440256,-118.01652864,38.55
97,660,1.66,0.84,0.82,1757.43,Bend,,,,,,08:50,60° 3D Left Forged Bend,Elbow,,,8.625,715,,,,,33.67440442,-118.01652711,38.50
98,670,27.83,1.66,27.83,1758.25,Girth Weld,,,,,,,,ERW,0.219,X35,8.625,715,,,,,33.67440643,-118.01652660,38.44
99,670,27.83,18.74,9.09,1776.99,Metal Loss,External,10,0.022,0.4,0.6,03:20,,ERW,0.219,X35,8.625,715,,0.436,1641,2279,33.67445631,-118.01652577,37.12
100,670,27.83,20.80,7.03,1779.06,AGM 1,,,,,,,,ERW,0.219,X35,8.625,715,,,,,33.67446181,-118.01652570,37.00
101,680,41.35,27.83,41.35,1786.08,Girth Weld,,,,,,,,ERW,0.219,X35,8.625,715,,,,,33.67448056,-118.01652532,36.64
102,690,42.27,41.35,42.27,1827.44,Girth Weld,,,,,,,,ERW,0.219,X35,8.625,715,,,,,33.67459126,-118.01652317,35.83
103,700,3.06,42.27,3.06,1869.71,Girth Weld,,,,,,,,Elbow,,,8.625,715,,,,,33.67470442,-118.01651952,35.11
