ILI Tool,Pipe Joint Number,Approx. Milepost (miles),Approx. Map Station (ft),Odometer (ft),Feature Number,Feature Description,Distance to Nearest Weld (ft),Distance to Upstream Weld (ft),Distance to Downstream Weld (ft),Distance to Nearest AGM (ft),Distance to Upstream AGM (ft),Distance to Downstream AGM (ft),WT (in),Max Depth (%),Max Depth + Tolerance (%),Length (in),Width (in),Oreintation (Degrees),Pipe Length (ft),Long Seam Orient. (Degrees),0.85DL Safe MAOP Rating (psig),0.85DL Safe MAOP Rating + Tolerance (psig),Eff. Area B31G of API579 Safe MAOP Rating (psig),Eff. Area B31G of API579 Safe MAOP Rating + Tolerance (psig),Eff. Area B31G of API579 Burst Press. Rating (psig),Eff. Area B31G of API579 Burst Press. Rating + Tolerance (psig),Latitude NAD83,Longitude NAD83,Elevation Above Mean Sea Level NAVD88 (ft),Comments
MFLCal,1320,7.34,387+34,38579.19,4455,Sleeve Start,D0.57,0.87,0.57,D1534.65,1725.37,1534.65,0.25,,,,,,1.44,,,,,,,,33.8463275,-118.2997760,32.33,Weld+End
MFLCal,1321,7.34,387+34,38579.76,4456,Weld,U1.44,1.44,23.27,D1534.08,1725.94,1534.08,0.307,,,,,,23.27,,,,,,,,33.8463290,-118.2997761,32.34,
MFLCal,1321,7.34,387+35,38580.23,4457,Sleeve End,U0.47,0.47,22.80,D1533.61,1726.41,1533.61,0.307,,,,,,23.27,,,,,,,,33.8463303,-118.2997761,32.35,
MFLCal,1322,7.34,387+58,38603.03,4458,Weld,U23.27,23.27,41.36,D1510.81,1749.21,1510.81,0.307,,,,,,41.36,,,,,,,,33.8463931,-118.2997749,32.59,
MFLCal,1322,7.35,387+85,38630.80,4459,ML Int Manufacturing Related,D13.59,27.77,13.59,D1483.05,1776.97,1483.05,0.307,10,30,0.31,1.06,82,41.36,,1644,1640,1643,1639,2282,2276,33.8464695,-118.2997737,32.86,
MFLCal,1322,7.35,387+91,38636.31,4460,ML Int Manufacturing Related,D8.08,33.28,8.08,D1477.55,1782.47,1477.55,0.307,10,25,0.43,0.73,82,41.36,,1642,1637,1642,1636,2280,2272,33.8464846,-118.2997735,32.93,
MFLCal,1322,7.35,387+92,38637.70,4461,ML Int Manufacturing Related,D6.7,34.66,6.70,D1476.18,1783.84,1476.18,0.307,12,27,0.59,0.42,270,41.36,,1639,1630,1638,1626,2275,2259,33.8464884,-118.2997735,32.94,
MFLCal,1322,7.35,387+94,38639.50,4462,ML Int Manufacturing Related,D4.9,36.47,4.90,D1474.37,1785.65,1474.37,0.307,14,29,0.51,0.97,253,41.36,,1640,1632,1639,1629,2276,2263,33.8464933,-118.2997734,32.97,
MFLCal,1322,7.35,387+96,38641.10,4463,ML Int Manufacturing Related,D3.29,38.07,3.29,D1472.76,1787.26,1472.76,0.307,12,27,0.43,0.55,299,41.36,,1642,1637,1641,1635,2279,2270,33.8464978,-118.2997734,32.99,
MFLCal,1322,7.35,387+98,38643.65,4464,ML Int Manufacturing Related,D0.74,40.62,0.74,D1470.22,1789.80,1470.22,0.307,11,31,0.31,0.42,82,41.36,,1643,1640,1643,1638,2282,2275,33.8465048,-118.2997733,33.02,
MFLCal,1322,7.35,387+99,38644.20,4465,ML Int Manufacturing Related,D0.19,41.17,0.19,D1469.66,1790.36,1469.66,0.307,12,32,0.39,0.65,334,41.36,,1642,1636,1642,1634,2280,2269,33.8465063,-118.2997733,33.03,
MFLCal,1323,7.35,387+99,38644.39,4466,Weld,D38.48,41.36,38.48,D1469.45,1790.57,1469.45,0.307,,,,,,38.48,,,,,,,,33.8465069,-118.2997733,33.03,
MFLCal,1323,7.35,388+03,38648.26,4467,ML Int Manufacturing Related,U3.87,3.87,34.61,D1465.61,1794.41,1465.61,0.307,13,33,0.35,0.58,167,38.48,,1643,1638,1642,1636,2281,2272,33.8465174,-118.2997732,33.08,
MFLCal,1324,7.36,388+37,38682.87,4468,Weld,U38.48,38.48,43.48,D1430.97,1829.05,1430.97,0.307,,,,,,43.48,,,,,,,,33.8466128,-118.2997727,33.42,
MFLCal,1324,7.36,388+49,38694.10,4469,ML Ext Manufacturing Related,U11.23,11.23,32.25,D1419.76,1840.26,1419.76,0.307,13,33,0.39,1.04,60,43.48,,1642,1636,1641,1634,2280,2269,33.8466436,-118.2997726,33.69,
MFLCal,1325,7.36,388+81,38726.35,4470,Weld,U43.48,43.48,43.86,D1387.49,1872.53,1387.49,0.307,,,,,,43.86,,,,,,,,33.8467324,-118.2997725,34.18,
MFLCal,1326,7.37,389+25,38770.21,4471,Weld,D43.54,43.86,43.54,D1343.63,1916.39,1343.63,0.307,,,,,,43.54,,,,,,,,33.8468531,-118.2997721,33.91,
MFLCal,1327,7.38,389+68,38813.75,4472,Weld,D39.88,43.54,39.88,D1300.1,1959.92,1300.10,0.307,,,,,,39.88,,,,,,,,33.8469729,-118.2997711,34.23,
MFLCal,1328,7.39,390+08,38853.63,4473,Weld,U39.88,39.88,47.92,D1260.21,1999.81,1260.21,0.307,,,,,,47.92,,,,,,,,33.8470826,-118.2997702,34.52,
MFLCal,1329,7.40,390+56,38901.55,4474,Weld,D16.43,47.92,16.43,D1212.29,2047.73,1212.29,0.307,,,,,,16.43,,,,,,,,33.8472145,-118.2997698,35.36,
MFLCal,1329,7.40,390+70,38916.05,4475,Tap,D1.93,14.50,1.93,D1197.79,2062.23,1197.79,0.307,,,,,351,16.43,,,,,,,,33.8472544,-118.2997700,35.93,
MFLCal,1330,7.40,390+72,38917.98,4476,Weld,D3.7,16.43,3.70,D1195.86,2064.16,1195.86,0.365,,,,,,3.70,,,,,,,,33.8472597,-118.2997700,35.98,
MFLCal,1331,7.40,390+76,38921.68,4477,Weld,D2.42,3.70,2.42,D1192.17,2067.85,1192.17,,,,,,,2.42,,,,,,,,33.8472698,-118.2997699,36.03,
MFLCal,1331,7.40,390+77,38922.92,4478,Bend,D1.18,1.24,1.18,D1190.92,2069.10,1190.92,,,,,,270,2.42,,,,,,,,33.8472730,-118.2997713,36.04,45° 3D Left Forged Bend
MFLCal,1332,7.40,390+78,38924.10,4479,Weld,U2.42,2.42,8.60,D1189.75,2070.27,1189.75,0.365,,,,,,8.60,,,,,,,,33.8472753,-118.2997740,36.04,
MFLCal,1333,7.40,390+87,38932.70,4480,Weld,U8.6,8.60,11.62,D1181.15,2078.87,1181.15,0.307,,,,,,11.62,,,,,,,,33.8472887,-118.2997973,36.06,
MFLCal,1334,7.41,390+99,38944.31,4481,Weld,D5.65,11.62,5.65,D1169.53,2090.49,1169.53,0.365,,,,,,5.65,,,,,,,,33.8473069,-118.2998289,36.08,
MFLCal,1335,7.41,391+04,38949.96,4482,Weld,D1.38,5.65,1.38,D1163.88,2096.14,1163.88,,,,,,,1.38,,,,,,,,33.8473155,-118.2998443,36.12,
MFLCal,1335,7.41,391+05,38950.62,4483,Bend,U0.66,0.66,0.71,D1163.22,2096.80,1163.22,,,,,,275,1.38,,,,,,,,33.8473162,-118.2998464,36.14,34° 3D Left Forged Bend
MFLCal,1336,7.41,391+06,38951.34,4484,Weld,U1.38,1.38,5.83,D1162.51,2097.51,1162.51,0.365,,,,,,5.83,,,,,,,,33.8473163,-118.2998487,36.16,
MFLCal,1337,7.41,391+11,38957.17,4485,Weld,U5.83,5.83,39.22,D1156.67,2103.35,1156.67,0.307,,,,,,39.22,,,,,,,,33.8473166,-118.2998679,36.40,
MFLCal,1337,7.41,391+14,38959.32,4486,Tap,U2.15,2.15,37.07,D1154.52,2105.50,1154.52,0.307,,,,,356,39.22,,,,,,,,33.8473167,-118.2998750,36.49,
MFLCal,1338,7.41,391+51,38996.39,4487,Weld,U39.22,39.22,48.14,D1117.45,2142.57,1117.45,0.307,,,,,,48.14,,,,,,,,33.8473172,-118.2999973,37.40,
MFLCal,1339,7.42,391+99,39044.53,4488,Weld,D43.64,48.14,43.64,D1069.31,2190.71,1069.31,0.307,,,,,,43.64,,,,,,,,33.8473169,-118.3001560,38.73,
MFLCal,1340,7.43,392+42,39088.17,4489,Weld,D43.36,43.64,43.36,D1025.67,2234.35,1025.67,0.307,,,,,,43.36,,,,,,,,33.8473168,-118.3002998,39.83,
MFLCal,1341,7.44,392+86,39131.53,4490,Weld,U43.36,43.36,43.62,D982.31,2277.71,982.31,0.307,,,,,,43.62,,,,,,,,33.8473169,-118.3004428,40.39,
MFLCal,1342,7.45,393+29,39175.15,4491,Weld,U43.62,43.62,43.98,D938.7,2321.32,938.70,0.307,,,,,,43.98,,,,,,,,33.8473163,-118.3005867,40.42,
MFLCal,1343,7.46,393+73,39219.13,4492,Weld,D43.08,43.98,43.08,D894.72,2365.30,894.72,0.307,,,,,,43.08,,,,,,,,33.8473159,-118.3007317,40.84,
MFLCal,1344,7.47,394+16,39262.21,4493,Weld,U43.08,43.08,44.12,D851.64,2408.38,851.64,0.307,,,,,,44.12,,,,,,,,33.8473155,-118.3008738,41.39,
MFLCal,1345,7.47,394+60,39306.33,4494,Weld,U44.12,44.12,47.09,D807.51,2452.51,807.51,0.307,,,,,,47.09,,,,,,,,33.8473152,-118.3010193,41.78,
MFLCal,1346,7.48,395+07,39353.42,4495,Weld,D45.8,47.09,45.80,D760.43,2499.59,760.43,0.307,,,,,,45.80,,,,,,,,33.8473148,-118.3011746,42.30,
MFLCal,1347,7.49,395+53,39399.22,4496,Weld,U45.8,45.80,46.99,D714.63,2545.39,714.63,0.307,,,,,,46.99,,,,,,,,33.8473145,-118.3013257,42.82,
MFLCal,1348,7.50,396+00,39446.21,4497,Weld,D46.05,46.99,46.05,D667.63,2592.39,667.63,0.307,,,,,,46.05,,,,,,,,33.8473140,-118.3014806,43.22,
MFLCal,1349,7.51,396+46,39492.26,4498,Weld,U46.05,46.05,47.35,D621.58,2638.44,621.58,0.307,,,,,,47.35,,,,,,,,33.8473136,-118.3016325,43.13,
MFLCal,1350,7.52,396+93,39539.61,4499,Weld,D40.8,47.35,40.80,D574.23,2685.79,574.23,0.307,,,,,,40.80,,,,,,,,33.8473129,-118.3017887,42.95,
MFLCal,1351,7.53,397+34,39580.41,4500,Weld,U40.8,40.80,46.99,D533.43,2726.59,533.43,0.307,,,,,,46.99,,,,,,,,33.8473121,-118.3019232,42.88,
MFLCal,1352,7.53,397+81,39627.41,4501,Weld,U46.99,46.99,47.78,D486.44,2773.58,486.44,0.307,,,,,,47.78,,,,,,,,33.8473112,-118.3020782,42.27,
MFLCal,1352,7.54,398+28,39675.14,4502,ML Ext Cluster At Weld,D0.05,47.73,0.05,D438.92,2821.10,438.92,0.307,28,48,4.57,2.05,350,47.78,,1406,1196,1544,1441,2144,2001,33.8473100,-118.3022348,41.30,
MFLCal,1353,7.54,398+29,39675.18,4503,Weld,D47.38,47.78,47.38,D438.66,2821.36,438.66,0.307,,,,,,47.38,,,,,,,,33.8473100,-118.3022357,41.29,
MFLCal,1353,7.55,398+59,39705.74,4504,ML Ext Manufacturing Related,D16.83,30.55,16.83,D408.11,2851.91,408.11,0.307,14,34,0.2,1.39,77,47.38,,1644,1643,1644,1642,2283,2280,33.8473092,-118.3023364,40.56,
MFLCal,1353,7.55,398+62,39708.22,4505,ML Ext Manufacturing Related,D14.34,33.04,14.34,D405.62,2854.40,405.62,0.307,11,31,0.16,0.94,84,47.38,,1645,1644,1644,1643,2284,2282,33.8473092,-118.3023446,40.52,
MFLCal,1354,7.55,398+76,39722.56,4506,Weld,D43.05,47.38,43.05,D391.28,2868.74,391.28,0.307,,,,,,43.05,,,,,,,,33.8473089,-118.3023919,40.29,
MFLCal,1355,7.56,399+19,39765.61,4507,Weld,D41.77,43.05,41.77,D348.24,2911.78,348.24,0.307,,,,,,41.77,,,,,,,,33.8473082,-118.3025339,40.17,
MFLCal,1355,7.57,399+57,39803.34,4508,Dent,D4.04,37.73,4.04,D310.5,2949.52,310.50,0.307,1.20,,4.38,2.61,88,41.77,,,,,,,,33.8473078,-118.3026583,40.51,
MFLCal,1356,7.57,399+61,39807.38,4509,Weld,U41.77,41.77,47.05,D306.46,2953.56,306.46,0.307,,,,,,47.05,,,,,,,,33.8473077,-118.3026716,40.55,
MFLCal,1357,7.58,400+08,39854.43,4510,Weld,D46,47.05,46.00,D259.41,3000.61,259.41,0.307,,,,,,46.00,,,,,,,,33.8473068,-118.3028268,41.32,
MFLCal,1358,7.59,400+54,39900.43,4511,Weld,U46,46.00,46.86,D213.41,3046.61,213.41,0.307,,,,,,46.86,,,,,,,,33.8473062,-118.3029785,42.22,
MFLCal,1358,7.59,400+81,39927.25,4512,MCP,D20.04,26.81,20.04,D186.6,3073.42,186.60,0.307,,,9.69,7.72,188,46.86,,,,,,,,33.8473059,-118.3030669,42.52,Close Metal Object
MFLCal,1359,7.59,401+01,39947.29,4513,Weld,U46.86,46.86,47.97,D166.55,3093.47,166.55,0.307,,,,,,47.97,,,,,,,,33.8473054,-118.3031330,42.87,
MFLCal,1360,7.60,401+49,39995.27,4514,Weld,D40.63,47.97,40.63,D118.58,3141.44,118.58,0.307,,,,,,40.63,,,,,,,,33.8473039,-118.3032912,43.44,
MFLCal,1361,7.61,401+89,40035.89,4515,Weld,U40.63,40.63,46.69,D77.95,3182.07,77.95,0.307,,,,,,46.69,,,,,,,,33.8473030,-118.3034252,43.63,
MFLCal,1362,7.62,402+36,40082.58,4516,Weld,D43.74,46.69,43.74,D31.26,3228.76,31.26,0.307,,,,,,43.74,,,,,,,,33.8473027,-118.3035792,43.83,
MFLCal,1362,7.63,402+67,40113.84,4517,AGM # 0300,D12.48,31.26,12.48,U0,0.00,1808.83,0.307,,,,,,43.74,,,,,,,,33.8473028,-118.3036823,43.57,
MFLCal,1363,7.63,402+79,40126.32,4518,Weld,D43.34,43.74,43.34,U12.48,12.48,1796.35,0.307,,,,,,43.34,,,,,,,,33.8473029,-118.3037234,43.44,
MFLCal,1364,7.64,403+23,40169.66,4519,Weld,U43.34,43.34,47.27,U55.82,55.82,1753.02,0.307,,,,,,47.27,,,,,,,,33.8473028,-118.3038659,43.16,
MFLCal,1364,7.64,403+48,40194.44,4520,MCP,D22.49,24.78,22.49,U80.59,80.59,1728.24,0.307,,,1.25,2.34,6,47.27,,,,,,,,33.8473027,-118.3039475,43.45,Close Metal Object
MFLCal,1364,7.65,403+69,40216.30,4521,ML Ext Cluster ,D0.63,46.64,0.63,U102.41,102.41,1706.43,0.307,23,38,0.94,5.59,118,47.27,,1616,1589,1614,1576,2242,2188,33.8473026,-118.3040193,43.70,
MFLCal,1365,7.65,403+70,40216.93,4522,Weld,D29.48,47.27,29.48,U103.09,103.09,1705.75,0.307,,,,,,29.48,,,,,,,,33.8473026,-118.3040215,43.69,
MFLCal,1366,7.65,403+99,40246.41,4523,Weld,D23.41,29.48,23.41,U132.57,132.57,1676.27,0.307,,,,,,23.41,,,,,,,,33.8473025,-118.3041185,43.25,
MFLCal,1367,7.66,404+23,40269.82,4524,Weld,U23.41,23.41,47.45,U155.98,155.98,1652.86,0.307,,,,,,47.45,,,,,,,,33.8473023,-118.3041955,43.20,
MFLCal,1368,7.66,404+70,40317.27,4525,Weld,D47.02,47.45,47.02,U203.42,203.42,1605.41,0.307,,,,,,47.02,,,,,,,,33.8473019,-118.3043517,43.58,
MFLCal,1369,7.67,405+17,40364.28,4526,Weld,U47.02,47.02,47.37,U250.44,250.44,1558.40,0.307,,,,,,47.37,,,,,,,,33.8473019,-118.3045064,43.95,
MFLCal,1369,7.68,405+26,40372.98,4527,ML Int Manufacturing Related,U8.7,8.70,38.67,U259.12,259.12,1549.71,0.307,10,30,0.35,0.99,120,47.37,,1643,1638,1643,1637,2282,2273,33.8473020,-118.3045350,44.02,
MFLCal,1370,7.68,405+65,40411.65,4528,Weld,U47.37,47.37,47.75,U297.81,297.81,1511.03,0.307,,,,,,47.75,,,,,,,,33.8473019,-118.3046623,44.24,
MFLCal,1371,7.69,406+12,40459.40,4529,Weld,D47.28,47.75,47.28,U345.55,345.55,1463.28,0.307,,,,,,47.28,,,,,,,,33.8473020,-118.3048194,44.46,
MFLCal,1372,7.70,406+59,40506.68,4530,Weld,D46.11,47.28,46.11,U392.84,392.84,1416.00,0.307,,,,,,46.11,,,,,,,,33.8473026,-118.3049750,45.28,
MFLCal,1373,7.71,407+06,40552.79,4531,Weld,U46.11,46.11,46.72,U438.95,438.95,1369.89,0.307,,,,,,46.72,,,,,,,,33.8473034,-118.3051267,46.57,
MFLCal,1374,7.72,407+52,40599.50,4532,Weld,U46.72,46.72,47.62,U485.66,485.66,1323.17,0.307,,,,,,47.62,,,,,,,,33.8473036,-118.3052804,47.22,
MFLCal,1374,7.72,407+79,40626.83,4533,ML Int Manufacturing Related,D20.29,27.33,20.29,U512.97,512.97,1295.87,0.307,12,27,0.55,0.4,330,47.62,,1640,1632,1639,1629,2276,2262,33.8473030,-118.3053702,47.51,
MFLCal,1375,7.73,408+00,40647.12,4534,Weld,D47.02,47.62,47.02,U533.28,533.28,1275.55,0.307,,,,,,47.02,,,,,,,,33.8473028,-118.3054371,47.79,
MFLCal,1376,7.74,408+47,40694.14,4535,Weld,D46.52,47.02,46.52,U580.3,580.30,1228.54,0.307,,,,,,46.52,,,,,,,,33.8473030,-118.3055918,48.33,
MFLCal,1376,7.74,408+50,40697.86,4536,ML Int Manufacturing Related,U3.72,3.72,42.80,U584,584.00,1224.84,0.307,11,31,0.31,0.44,58,46.52,,1643,1640,1643,1638,2282,2275,33.8473030,-118.3056040,48.36,
MFLCal,1377,7.74,408+93,40740.66,4537,Weld,D45.67,46.52,45.67,U626.82,626.82,1182.02,0.307,,,,,,45.67,,,,,,,,33.8473035,-118.3057449,48.59,
MFLCal,1377,7.75,408+97,40744.04,4538,Manufacturing Indication,U3.38,3.38,42.29,U630.19,630.19,1178.64,0.307,,,10.2,2.91,262,45.67,,,,,,,,33.8473036,-118.3057560,48.60,With ID Restriction <1%
MFLCal,1378,7.75,409+39,40786.33,4539,Weld,U45.67,45.67,46.21,U672.48,672.48,1136.35,0.307,,,,,,46.21,,,,,,,,33.8473041,-118.3058952,48.72,
MFLCal,1379,7.76,409+85,40832.53,4540,Weld,U46.21,46.21,46.47,U718.69,718.69,1090.15,0.307,,,,,,46.47,,,,,,,,33.8473044,-118.3060472,49.08,
MFLCal,1380,7.77,410+31,40879.00,4541,Weld,D42.29,46.47,42.29,U765.16,765.16,1043.68,0.307,,,,,,42.29,,,,,,,,33.8473041,-118.3062001,49.33,
MFLCal,1381,7.78,410+74,40921.29,4542,Weld,D41.6,42.29,41.60,U807.45,807.45,1001.39,0.307,,,,,,41.60,,,,,,,,33.8473039,-118.3063393,49.47,
MFLCal,1382,7.79,411+15,40962.89,4543,Weld,D36.76,41.60,36.76,U849.05,849.05,959.79,0.307,,,,,,36.76,,,,,,,,33.8473038,-118.3064762,49.69,
MFLCal,1383,7.79,411+52,40999.65,4544,Weld,U36.76,36.76,38.85,U885.81,885.81,923.03,0.307,,,,,,38.85,,,,,,,,33.8473039,-118.3065972,49.48,
MFLCal,1384,7.80,411+91,41038.50,4545,Weld,U38.85,38.85,42.74,D884.17,924.66,884.17,0.307,,,,,,42.74,,,,,,,,33.8473047,-118.3067250,49.30,
MFLCal,1385,7.81,412+33,41081.24,4546,Weld,D41.9,42.74,41.90,D841.44,967.40,841.44,0.307,,,,,,41.90,,,,,,,,33.8473058,-118.3068656,48.85,
MFLCal,1386,7.82,412+75,41123.14,4547,Weld,D40.06,41.90,40.06,D799.54,1009.30,799.54,0.307,,,,,,40.06,,,,,,,,33.8473060,-118.3070035,48.18,
MFLCal,1387,7.82,413+15,41163.20,4548,Weld,U40.06,40.06,48.11,D759.48,1049.36,759.48,0.307,,,,,,48.11,,,,,,,,33.8473062,-118.3071353,47.54,
MFLCal,1387,7.83,413+40,41187.51,4549,ML Int Manufacturing Related,D23.81,24.31,23.81,D735.19,1073.65,735.19,0.307,11,26,0.47,0.53,39,48.11,,1642,1636,1641,1633,2279,2268,33.8473068,-118.3072152,47.25,
MFLCal,1387,7.83,413+42,41190.10,4550,ML Int Manufacturing Related,D21.21,26.90,21.21,D732.6,1076.24,732.60,0.307,14,34,0.39,0.56,2,48.11,,1642,1636,1641,1633,2279,2268,33.8473069,-118.3072237,47.23,
MFLCal,1388,7.83,413+63,41211.31,4551,Weld,D40.75,48.11,40.75,D711.36,1097.47,711.36,0.307,,,,,,40.75,,,,,,,,33.8473075,-118.3072936,47.13,
MFLCal,1389,7.84,414+04,41252.06,4552,Weld,U40.75,40.75,42.97,D670.62,1138.22,670.62,0.307,,,,,,42.97,,,,,,,,33.8473085,-118.3074276,47.00,
MFLCal,1390,7.85,414+47,41295.03,4553,Weld,U42.97,42.97,47.52,D627.65,1181.18,627.65,0.307,,,,,,47.52,,,,,,,,33.8473090,-118.3075690,46.51,
MFLCal,1391,7.86,414+94,41342.55,4554,Weld,D45.39,47.52,45.39,D580.13,1228.71,580.13,0.307,,,,,,45.39,,,,,,,,33.8473094,-118.3077254,45.98,
MFLCal,1391,7.86,415+22,41369.69,4555,Manufacturing Indication,D18.25,27.14,18.25,D552.99,1255.85,552.99,0.307,,,8.68,1.23,159,45.39,,,,,,,,33.8473097,-118.3078147,45.81,
MFLCal,1391,7.87,415+35,41383.55,4556,Dent,D4.39,41.00,4.39,D539.13,1269.71,539.13,0.307,1.00,,10.79,2.76,194,45.39,,,,,,,,33.8473099,-118.3078603,45.77,
MFLCal,1392,7.87,415+40,41387.94,4557,Weld,U45.39,45.39,47.30,D534.73,1274.10,534.73,0.307,,,,,,47.30,,,,,,,,33.8473100,-118.3078748,45.78,
MFLCal,1392,7.87,415+52,41400.02,4558,ML Int Manufacturing Related,U12.08,12.08,35.22,D522.7,1286.13,522.70,0.307,15,30,0.78,0.4,158,47.30,,1632,1615,1630,1608,2263,2234,33.8473101,-118.3079144,45.78,
MFLCal,1392,7.87,415+54,41402.62,4559,ML Int Manufacturing Related,U14.68,14.68,32.62,D520.12,1288.71,520.12,0.307,11,26,0.78,0.55,0,47.30,,1636,1620,1634,1615,2270,2243,33.8473102,-118.3079229,45.78,
MFLCal,1392,7.87,415+67,41415.46,4560,ML Int Cluster Manufacturing Related,D19.78,27.52,19.78,D507.26,1301.57,507.26,0.307,20,35,1.09,0.92,150,47.30,,1613,1580,1606,1563,2230,2171,33.8473103,-118.3079652,45.85,
MFLCal,1392,7.87,415+68,41416.14,4561,ML Int Cluster Manufacturing Related,D19.11,28.19,19.11,D506.61,1302.22,506.61,0.307,19,34,1.41,1.12,150,47.30,,1600,1552,1590,1529,2208,2124,33.8473103,-118.3079673,45.85,
MFLCal,1392,7.87,415+70,41418.39,4562,ML Int Manufacturing Related,D16.86,30.44,16.86,D504.32,1304.52,504.32,0.307,11,26,0.94,1.2,148,47.30,,1632,1611,1630,1603,2264,2227,33.8473104,-118.3079749,45.87,
MFLCal,1392,7.87,415+71,41419.54,4563,ML Int Manufacturing Related,D15.71,31.59,15.71,D503.16,1305.68,503.16,0.307,13,28,0.63,0.4,147,47.30,,1638,1627,1636,1623,2273,2254,33.8473104,-118.3079787,45.88,
MFLCal,1392,7.87,415+72,41420.06,4564,ML Int Manufacturing Related,D15.19,32.11,15.19,D502.69,1306.14,502.69,0.307,18,33,1.25,0.47,148,47.30,,1609,1570,1602,1552,2225,2155,33.8473104,-118.3079802,45.88,
MFLCal,1392,7.87,415+73,41421.54,4565,ML Int Manufacturing Related,D13.7,33.60,13.70,D501.18,1307.66,501.18,0.307,14,29,0.78,0.4,146,47.30,,1633,1617,1631,1610,2265,2236,33.8473104,-118.3079852,45.90,
MFLCal,1392,7.87,415+74,41422.11,4566,ML Int Manufacturing Related,D13.13,34.17,13.13,D500.61,1308.23,500.61,0.307,12,27,1.09,0.8,142,47.30,,1627,1599,1623,1588,2255,2205,33.8473104,-118.3079871,45.90,
MFLCal,1392,7.87,415+75,41423.02,4567,ML Int Manufacturing Related,D12.22,35.08,12.22,D499.71,1309.13,499.71,0.307,14,29,1.25,0.51,156,47.30,,1618,1582,1613,1567,2240,2176,33.8473104,-118.3079900,45.91,
MFLCal,1392,7.87,415+76,41424.12,4568,ML Int Manufacturing Related,D11.13,36.17,11.13,D498.59,1310.25,498.59,0.307,18,33,0.94,0.62,150,47.30,,1623,1599,1619,1587,2248,2204,33.8473104,-118.3079937,45.92,
MFLCal,1393,7.88,415+87,41435.24,4569,Weld,D46.95,47.30,46.95,D487.43,1321.40,487.43,0.307,,,,,,46.95,,,,,,,,33.8473105,-118.3080304,46.01,
MFLCal,1394,7.89,416+34,41482.19,4570,Weld,D45.97,46.95,45.97,D440.49,1368.34,440.49,0.307,,,,,,45.97,,,,,,,,33.8473111,-118.3081849,46.03,
MFLCal,1395,7.89,416+80,41528.16,4571,Weld,U45.97,45.97,47.40,D394.52,1414.31,394.52,0.307,,,,,,47.40,,,,,,,,33.8473120,-118.3083362,46.16,
MFLCal,1395,7.90,416+89,41536.92,4572,Recoat Start,U8.77,8.77,38.64,D385.75,1423.08,385.75,0.307,,,,,,47.40,,,,,,,,33.8473122,-118.3083650,46.20,
MFLCal,1395,7.90,416+90,41538.12,4573,ML Int Manufacturing Related,U9.96,9.96,37.45,D384.59,1424.25,384.59,0.307,12,32,0.35,0.47,186,47.40,,1643,1638,1642,1636,2281,2272,33.8473122,-118.3083689,46.20,
MFLCal,1395,7.90,416+90,41538.34,4574,Dent,U10.18,10.18,37.22,D384.34,1424.49,384.34,0.307,1.50,,7.19,2.12,34,47.40,,,,,,,,33.8473123,-118.3083697,46.21,Within Recoat
MFLCal,1395,7.90,416+90,41538.39,4575,ML Int Cluster Manufacturing Related,U10.23,10.23,37.17,D384.33,1424.50,384.33,0.307,15,30,0.9,0.84,182,47.40,,1629,1607,1627,1601,2260,2223,33.8473123,-118.3083697,46.21,
MFLCal,1395,7.90,416+92,41540.15,4576,Recoat End,U12,12.00,35.41,D382.52,1426.31,382.52,0.307,,,,,,47.40,,,,,,,,33.8473123,-118.3083757,46.21,
MFLCal,1395,7.90,416+92,41540.80,4577,ML Int Manufacturing Related,U12.64,12.64,34.76,D381.9,1426.93,381.90,0.307,13,33,0.31,0.4,348,47.40,,1643,1639,1643,1638,2282,2274,33.8473123,-118.3083777,46.21,
MFLCal,1396,7.90,417+27,41575.56,4578,Weld,D46.64,47.40,46.64,D347.12,1461.72,347.12,0.307,,,,,,46.64,,,,,,,,33.8473135,-118.3084922,46.28,
MFLCal,1396,7.90,417+38,41586.28,4579,ML Int Cluster Manufacturing Related,U10.72,10.72,35.91,D336.41,1472.42,336.41,0.307,12,27,1.09,1.07,44,46.64,,1627,1599,1633,1613,2268,2240,33.8473138,-118.3085274,46.29,
MFLCal,1396,7.91,417+39,41587.06,4580,ML Int Cluster Manufacturing Related,U11.5,11.50,35.14,D335.63,1473.21,335.63,0.307,12,27,0.82,0.9,56,46.64,,1634,1617,1632,1607,2267,2232,33.8473138,-118.3085300,46.29,
MFLCal,1396,7.91,417+58,41606.32,4581,ML Int Manufacturing Related,D15.88,30.76,15.88,D316.38,1492.45,316.38,0.307,10,25,0.55,0.71,359,46.64,,1641,1633,1640,1630,2278,2264,33.8473142,-118.3085933,46.38,
MFLCal,1396,7.91,417+59,41606.99,4582,ML Int Cluster Manufacturing Related,D15.21,31.43,15.21,D315.77,1493.06,315.77,0.307,13,28,1.17,1.57,1,46.64,,1623,1591,1624,1592,2255,2211,33.8473142,-118.3085953,46.39,
MFLCal,1396,7.91,417+59,41607.57,4583,ML Int Manufacturing Related,D14.63,32.01,14.63,D315.12,1493.71,315.12,0.307,11,31,0.27,0.4,5,46.64,,1644,1641,1644,1640,2283,2277,33.8473142,-118.3085974,46.39,
