Global GW,Tool,Weld Number,Approx. Milepost (miles),"Approx. Map Station
 (ft)",Odometer (ft),Feature Number,Feature Description,"Distance to Nearest Weld 
(ft)","Distance to Upstream Weld 
(ft)","Distance to Downstream Weld 
(ft)","Distance to Nearest AGM 
(ft)","Distance to Upstream AGM
 (ft)","Distance to Downstream AGM  
(ft)","Wall Thickness of Joint or Boxed Metal Loss Anomaly (Median)
 (in)","Wall Thickness of Joint Only (Median) 
(in)",Max Depth (% from Joint Median),Max Depth +Tool Tolerance (% from Joint Median),"Dent Depth
 (%)",Length (in),"Width 
(in)",Orient. (deg),Pipe Lnth (ft),Long Seam Orient. (deg),"B31G mod Using Median Thickness Psafe 
(psi)","B31Gmod Using Median Thickness +Tool Tolerance Psafe 
(psi)","B31G Eff. Area Using Median Thickness Psafe 
(psi)","B31G Eff. Area Using Median Thickness +Tool Tolerance 
Psafe
 (psi)","B31G Eff. Area Using Median Thickness Pfailure 
(psi)","B31G Eff. Area Using Median Thickness +Tool Tolerance Pfailure 
(psi)",Lattitude NAD83,Longitude NAD83,"Elevation Above Mean Sea Level NAVD88
 (ft)",Comments,Valid Thickness Data Percent,Feature Type (Int/Ext/Mid),Depth of Feature (From Joint Median) (in),Depth Sizing Tolerance (in),Depth of Feature (From Joint Median +Tool Tolerance) (in),"Thickness Minimum Measured for Metal Loss (Minus Tool Tolerance) 
(in)","Thickness Minimum Measured (Tmm) 
(in)",API 579 MAOPr (psi),API 579 RSF,Piping Specifications,SMYS (ksi),MAOP Design (psi),"Nominal Pipe Diameter, OD 
(in)",T Median Measured (in),T Mean Measured (in),Distance from Launcher (ft),Station Position (ft),"Radius Inside (Median) 
(in)","Radius Inside (Mean)
 (in)","Radius Inside (Min)
 (in)",T Nominal (in),,,,,
11970,InVista,"1,204",1.367,72+17,"37,647.59",GW11990,Weld,U47.62,47.62,48.90,D519.62,"1,581.48",519.62,0.296,0.296,,,,,,,48.90,338,,,,,,,33.84197958,-118.30493087,45.6,,98.3,,,,,,0.274,"1,234",0.943,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,234",10.750,0.296,0.300,"37,647.59","7,217.32",5.09,5.090,2.953,0.307,,,,,
11970,InVista,"1,204",1.361,71+85,"37,680.25",SS,Sleeve Start,D16.24,32.66,16.24,D486.97,"1,614.14",486.97,,,,,,,,,,,,,,,,,33.84197874,-118.30503865,45.8,Crosses Girth Weld,,,,,,,,,,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,,,,,"37,680.25","7,184.64",,,,0.307,,,,,
11970,InVista,"1,204",1.361,71+84,"37,680.90",RMBS,Recoat Marker Band Start,D15.60,33.30,15.60,D486.32,"1,614.79",486.32,,,,,,0.04,0.10,360,,,,,,,,,33.84197872,-118.30504054,45.8,,,,,,,,,,,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,,,,,"37,680.90","7,184.00",5.097,5.097,5.097,0.307,,,,,
11970,InVista,"1,204",1.360,71+79,"37,685.66",LAM-11990-03,Lamination,D10.84,38.06,10.84,D481.56,"1,619.55",481.56,,,,,,32.87,1.01,218,,,,,,,,,33.84197859,-118.30505648,45.9,Under Sleeve,,Midwall,,,,,,,,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,,,,,"37,685.66","7,179.23",5.082,5.082,5.076,0.307,,,,,
11970,InVista,"1,204",1.359,71+73,"37,691.93",LAM-11990-04,Lamination,D4.57,44.33,4.57,D475.29,"1,625.82",475.29,,,,,,54.74,1.11,234,,,,,,,,,33.84197844,-118.30507701,45.9,Under Sleeve; Adjacent Girth Weld,,Midwall,,,,,,,,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,,,,,"37,691.93","7,172.96",5.067,5.067,5.054,0.307,,,,,
11980,InVista,"1,205",1.358,71+68,"37,696.50",GW12000,Weld,D24.09,48.90,24.09,D470.72,"1,630.38",470.72,0.297,0.297,,,,,,,24.09,198,,,,,,,33.84197832,-118.30509214,46.0,Metal Loss (<15.0%) in Joint,98.5,,,,,,0.250,"1,234",0.925,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,234",10.750,0.297,0.299,"37,696.50","7,168.40",5.09,5.086,2.994,0.307,,,,,
11980,InVista,"1,205",1.357,71+67,"37,697.65",SE,Sleeve End,U1.16,1.16,22.93,D469.57,"1,631.54",469.57,,,,,,,,,,,,,,,,,33.84197829,-118.30509593,46.0,,,,,,,,,,,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,,,,,"37,697.65","7,167.24",,,,0.307,,,,,
11980,InVista,"1,205",1.356,71+61,"37,703.89",RMBE,Recoat Marker Band End,U7.40,7.39,16.69,D463.33,"1,637.78",463.33,,,,,,0.04,0.10,359,,,,,,,,,33.84197813,-118.30511646,46.0,,,,,,,,,,,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,,,,,"37,703.89","7,161.00",5.086,5.086,5.086,0.307,,,,,
11980,InVista,"1,205",1.356,71+61,"37,704.35",EML-12000-03,External Metal Loss,U7.86,7.86,16.23,D462.87,"1,638.24",462.87,0.294,0.297,16,24,,3.04,2.21,103,,,"1,498","1,441","1,509","1,443","2,096","2,005",33.84197812,-118.30511781,46.1,Intermittent,74.5,External,0.047,0.025,0.072,0.225,0.250,"1,234",0.932,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,234",10.750,0.294,0.300,"37,704.35","7,160.53",5.089,5.091,5.086,0.307,,,,,
11980,InVista,"1,205",1.356,71+60,"37,705.12",EML-12000-04,External Metal Loss,U8.62,8.62,15.47,D462.10,"1,639.00",462.10,0.293,0.297,15,24,,3.84,2.91,123,,,"1,484","1,418","1,487","1,409","2,066","1,957",33.84197810,-118.30512051,46.1,,84.4,External,0.045,0.025,0.070,0.227,0.252,"1,234",0.933,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,234",10.750,0.293,0.293,"37,705.12","7,159.77",5.088,5.088,5.084,0.307,,,,,
11990,InVista,"1,206",1.353,71+44,"37,720.59",GW12010,Weld; Begin 0.5 in wall. API 5L (A) Seamless,D0.25,24.09,0.25,D446.63,"1,654.47",446.63,0.501,0.501,,,,,,,0.25,,,,,,,,33.84197770,-118.30517130,46.2,"End 10.750"" Pipe",52.9,,,,,,0.474,"2,009",0.942,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"2,009",10.750,0.501,0.522,"37,720.59","7,144.30",4.875,4.872,4.619,0.500,,,,,
11990,InVista,"1,207",1.353,71+44,"37,720.83",PT,Pipe Transition,U0.25,0.25,0.31,D446.39,"1,654.72",446.39,0.573,0.573,,,,,,,,,,,,,,,33.84197769,-118.30517221,46.2,"10.750"" x 8.625"" Reducer",19.0,,,,,,0.533,"2,504",0.941,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"2,504",8.625,0.573,0.631,"37,720.83","7,144.05",3.75,4.022,3.127,0.500,,,,,
12000,InVista,"1,208",1.353,71+44,"37,721.14",GW12020,Weld; Begin 0.277 in wall. API 5L (A) LongSeam,U0.31,0.31,17.66,D446.08,"1,655.03",446.08,0.275,0.275,,,,,,,17.66,93,,,,,,,33.84197769,-118.30517329,46.2,"Begin 8.625"" Pipe",99.2,,,,,,0.223,"1,383",0.897,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.275,0.276,"37,721.14","7,143.74",4.033,4.032,3.017,0.277,,,,,
12000,InVista,"1,208",1.351,71+33,"37,732.34",EML-12020-01,External Metal Loss,D6.46,11.20,6.46,D434.88,"1,666.23",434.88,0.273,0.275,19,28,,14.59,6.05,138,,,"1,583","1,456","1,660","1,512","2,305","2,100",33.84197740,-118.30521057,46.2,Intermittent,95.5,External,0.052,0.025,0.077,0.198,0.223,"1,387",0.902,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.273,0.274,"37,732.34","7,132.70",4.037,4.035,4.014,0.277,,,,,
12010,InVista,"1,209",1.350,71+26,"37,738.80",GW12030,Weld,U17.66,17.66,21.82,D428.42,"1,672.68",428.42,0.276,0.276,,,,,,,21.82,338,,,,,,,33.84197723,-118.30523191,46.2,,99.6,,,,,,0.255,"1,387",0.934,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.276,0.276,"37,738.80","7,126.34",4.034,4.035,2.832,0.277,,,,,
12020,InVista,"1,210",1.346,71+05,"37,760.62",GW12040,Weld,U21.82,21.82,22.04,D406.60,"1,694.51",406.60,0.275,0.275,,,,,,,22.04,251,,,,,,,33.84197667,-118.30530458,46.3,,99.6,,,,,,0.252,"1,387",0.900,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.275,0.276,"37,760.62","7,104.82",4.034,4.034,2.941,0.277,,,,,
12030,InVista,"1,211",1.341,70+83,"37,782.66",GW12050,Weld,D21.25,22.04,21.25,D384.56,"1,716.55",384.56,0.277,0.277,,,,,,,21.25,12,,,,,,,33.84197611,-118.30537807,46.3,,99.1,,,,,,0.232,"1,346",0.873,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.277,0.278,"37,782.66","7,083.09",4.034,4.036,2.868,0.277,,,,,
12040,InVista,"1,212",1.338,70+62,"37,803.91",GW12060,Weld,U21.25,21.25,22.11,D363.31,"1,737.80",363.31,0.279,0.279,,,,,,,22.11,348,,,,,,,33.84197556,-118.30544858,46.3,Metal Loss (<15.0%) in Joint,98.9,,,,,,0.213,"1,350",0.876,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.279,0.280,"37,803.91","7,062.15",4.032,4.031,3.381,0.277,,,,,
12040,InVista,"1,212",1.338,70+62,"37,803.95",EML-12060-01,External Metal Loss,U0.04,0.04,22.07,D363.27,"1,737.84",363.27,0.276,0.279,24,33,,7.74,10.56,76,,,"1,571","1,452","1,658","1,522","2,303","2,114",33.84197557,-118.30544885,46.3,Intermittent; Adjacent Girth Weld,97.4,External,0.066,0.025,0.091,0.188,0.213,"1,357",0.880,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.276,0.274,"37,803.95","7,062.11",4.032,4.031,4.014,0.277,,,,,
12040,InVista,"1,212",1.337,70+62,"37,804.50",EML-12060-02,External Metal Loss,U0.60,0.60,21.52,D362.71,"1,738.39",362.71,0.279,0.279,18,27,,3.51,5.32,148,,,"1,708","1,620","1,756","1,657","2,439","2,301",33.84197555,-118.30545074,46.3,Intermittent,94.4,External,0.050,0.025,0.075,0.204,0.229,"1,354",0.878,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.279,0.278,"37,804.50","7,061.56",4.032,4.032,4.024,0.277,,,,,
12040,InVista,"1,212",1.337,70+60,"37,805.82",EML-12060-03,External Metal Loss,U1.91,1.91,20.20,D361.40,"1,739.71",361.40,0.248,0.279,19,28,,1.15,0.89,12,,,"1,814","1,785","1,818","1,784","2,524","2,478",33.84197552,-118.30545506,46.3,,88.8,External,0.054,0.025,0.079,0.200,0.225,"1,370",0.889,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.248,0.265,"37,805.82","7,060.26",4.028,4.028,4.024,0.277,,,,,
12050,InVista,"1,213",1.333,70+40,"37,826.02",GW12070,Weld,U22.12,22.11,22.56,D341.20,"1,759.91",341.20,0.283,0.283,,,,,,,22.56,100,,,,,,,33.84197500,-118.30552233,46.4,,99.5,,,,,,0.271,"1,387",0.948,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.283,0.284,"37,826.02","7,040.35",4.03,4.028,3.355,0.277,,,,,
12060,InVista,"1,214",1.329,70+18,"37,848.58",GW12080,Weld,D21.63,22.56,21.63,D318.64,"1,782.47",318.64,0.282,0.282,,,,,,,21.63,154,,,,,,,33.84197442,-118.30559744,46.4,,99.8,,,,,,0.254,"1,387",0.955,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.282,0.283,"37,848.58","7,018.11",4.032,4.030,3.605,0.277,,,,,
12070,InVista,"1,215",1.325,69+97,"37,870.21",GW12090,Weld,U21.63,21.63,22.15,D297.01,"1,804.10",297.01,0.271,0.271,,,,,,,22.15,18,,,,,,,33.84197386,-118.30566930,46.5,,99.4,,,,,,0.190,"1,194",0.775,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.271,0.272,"37,870.21","6,996.79",4.04,4.040,3.327,0.277,,,,,
12070,InVista,"1,215",1.323,69+87,"37,879.86",EML-12090-01,External Metal Loss,U9.65,9.65,12.50,D287.36,"1,813.75",287.36,0.250,0.271,30,39,,20.91,9.44,111,,,"1,388","1,253","1,399","1,240","1,943","1,722",33.84197361,-118.30570144,46.5,,97.4,External,0.081,0.025,0.106,0.165,0.190,"1,194",0.775,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.250,0.258,"37,879.86","6,987.27",4.039,4.039,4.030,0.277,,,,,
12080,InVista,"1,216",1.321,69+75,"37,892.36",GW12100,Weld,D21.89,22.15,21.89,D274.86,"1,826.25",274.86,0.282,0.282,,,,,,,21.89,329,,,,,,,33.84197330,-118.30574304,46.5,,99.4,,,,,,0.266,"1,387",0.953,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.282,0.283,"37,892.36","6,974.95",4.032,4.031,2.861,0.277,,,,,
12090,InVista,"1,217",1.317,69+53,"37,914.25",GW12110,Weld,D21.83,21.89,21.83,D252.97,"1,848.14",252.97,0.275,0.275,,,,,,,21.83,100,,,,,,,33.84197273,-118.30581598,46.5,,99.1,,,,,,0.219,"1,387",0.936,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.275,0.276,"37,914.25","6,953.38",4.037,4.037,3.664,0.277,,,,,
12090,InVista,"1,217",1.314,69+37,"37,931.10",EML-12110-01,External Metal Loss,D4.98,16.85,4.98,D236.12,"1,864.98",236.12,0.268,0.275,20,29,,1.62,1.94,40,,,"1,752","1,705","1,766","1,712","2,453","2,378",33.84197230,-118.30587190,46.6,Adjacent Long Seam,67.3,External,0.056,0.025,0.081,0.194,0.219,"1,387",0.941,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.268,0.267,"37,931.10","6,936.77",4.038,4.038,4.028,0.277,,,,,
12090,InVista,"1,217",1.314,69+36,"37,931.38",EML-12110-02,External Metal Loss,D4.70,17.13,4.70,D235.84,"1,865.27",235.84,0.252,0.275,20,29,,1.17,1.45,17,,,"1,784","1,754","1,784","1,748","2,478","2,428",33.84197229,-118.30587299,46.6,,78.7,External,0.055,0.025,0.080,0.195,0.220,"1,387",0.941,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.252,0.257,"37,931.38","6,936.49",4.04,4.040,4.030,0.277,,,,,
12090,InVista,"1,217",1.314,69+36,"37,931.80",EML-12110-03,External Metal Loss,D4.27,17.55,4.27,D235.42,"1,865.69",235.42,0.252,0.275,20,29,,1.04,1.13,27,,,"1,792","1,766","1,797","1,768","2,496","2,456",33.84197229,-118.30587434,46.6,,61.2,External,0.056,0.025,0.081,0.194,0.219,"1,387",0.952,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.252,0.288,"37,931.80","6,936.07",4.041,4.041,4.034,0.277,,,,,
12100,InVista,"1,218",1.313,69+32,"37,936.07",GW12120,Weld,U21.83,21.83,21.89,D231.15,"1,869.96",231.15,0.277,0.277,,,,,,,21.89,35,,,,,,,33.84197217,-118.30588865,46.6,,99.4,,,,,,0.248,"1,387",0.921,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.277,0.278,"37,936.07","6,931.86",4.039,4.037,2.973,0.277,,,,,
12110,InVista,"1,219",1.309,69+10,"37,957.96",GW12130,Weld,U21.89,21.89,21.91,D209.26,"1,891.85",209.26,0.282,0.282,,,,,,,21.91,165,,,,,,,33.84197161,-118.30596133,46.6,Small Laminations in Joint,98.8,,,,,,0.157,"1,209",0.784,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.282,0.284,"37,957.96","6,910.28",4.03,4.029,3.930,0.277,,,,,
12110,InVista,"1,219",1.308,69+08,"37,960.07",EML-12130-01,External Metal Loss,U2.11,2.11,19.80,D207.14,"1,893.96",207.14,0.263,0.282,44,53,,11.07,6.29,30,,,"1,271","1,136","1,533","1,384","2,129","1,922",33.84197159,-118.30596837,46.6,,86.8,External,0.125,0.025,0.150,0.132,0.157,"1,209",0.784,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.263,0.269,"37,960.07","6,908.20",4.026,4.026,4.014,0.277,,,,,
12120,InVista,"1,220",1.305,68+89,"37,979.88",GW12140,Weld,D21.45,21.91,21.45,D187.34,"1,913.76",187.34,0.277,0.277,,,,,,,21.45,78,,,,,,,33.84197145,-118.30603429,46.6,Metal Loss (<15.0%) in Joint,99.2,,,,,,0.247,"1,387",0.913,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.277,0.278,"37,979.88","6,888.68",4.034,4.033,3.645,0.277,,,,,
12130,InVista,"1,221",1.301,68+68,"38,001.33",GW12150,Weld,U21.45,21.45,21.73,D165.89,"1,935.21",165.89,0.279,0.279,,,,,,,21.73,226,,,,,,,33.84197131,-118.30610561,46.7,Metal Loss (<15.0%) in Joint,98.9,,,,,,0.243,"1,387",0.901,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.279,0.279,"38,001.33","6,867.53",4.034,4.033,3.006,0.277,,,,,
12140,InVista,"1,222",1.297,68+46,"38,023.05",GW12160,Weld,D20.32,21.73,20.32,D144.16,"1,956.94",144.16,0.278,0.278,,,,,,,20.32,246,,,,,,,33.84197116,-118.30617802,46.7,,98.7,,,,,,0.241,"1,387",0.901,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.278,0.279,"38,023.05","6,846.11",4.033,4.032,3.190,0.277,,,,,
12150,InVista,"1,223",1.293,68+26,"38,043.37",GW12170,Weld,U20.32,20.32,21.07,D123.85,"1,977.26",123.85,0.274,0.274,,,,,,,21.07,31,,,,,,,33.84197102,-118.30624556,46.8,Metal Loss (<15.0%) in Joint,99.7,,,,,,0.225,"1,387",0.928,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.274,0.275,"38,043.37","6,826.09",4.038,4.037,3.864,0.277,,,,,
12150,InVista,"1,223",1.290,68+09,"38,060.38",EML-12170-01,External Metal Loss,D4.06,17.00,4.06,D106.84,"1,994.27",106.84,0.270,0.274,18,27,,1.65,3.15,121,,,"1,755","1,709","1,758","1,703","2,441","2,365",33.84197091,-118.30630230,46.8,Intermittent,94.2,External,0.049,0.025,0.074,0.200,0.225,"1,387",0.938,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.270,0.269,"38,060.38","6,809.32",4.038,4.038,4.032,0.277,,,,,
12150,InVista,"1,223",1.290,68+09,"38,060.66",EML-12170-02,External Metal Loss,D3.77,17.29,3.77,D106.55,"1,994.55",106.55,0.268,0.274,14,23,,3.62,2.50,116,,,"1,707","1,620","1,712","1,610","2,378","2,236",33.84197091,-118.30630311,46.8,,93.0,External,0.039,0.025,0.064,0.210,0.235,"1,387",0.930,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.268,0.272,"38,060.66","6,809.04",4.038,4.038,4.034,0.277,,,,,
12160,InVista,"1,224",1.289,68+05,"38,064.44",GW12180,Weld,U21.07,21.07,21.84,D102.78,"1,998.33",102.78,0.279,0.279,,,,,,,21.84,333,,,,,,,33.84197088,-118.30631580,46.8,,99.2,,,,,,0.241,"1,362",0.884,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.279,0.280,"38,064.44","6,805.32",4.034,4.035,3.946,0.277,,,,,
12170,InVista,"1,225",1.285,67+84,"38,086.28",GW12190,Weld,U21.84,21.84,21.96,D80.94,"2,020.17",80.94,0.273,0.273,,,,,,,21.96,231,,,,,,,33.84197074,-118.30638847,46.8,Metal Loss (<15.0%) in Joint,98.8,,,,,,0.213,"1,295",0.840,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.273,0.274,"38,086.28","6,783.79",4.04,4.038,3.315,0.277,,,,,
12170,InVista,"1,225",1.285,67+83,"38,086.82",EML-12190-01,External Metal Loss,U0.54,0.54,21.42,D80.40,"2,020.70",80.40,0.271,0.273,22,31,,31.37,13.31,77,,,"1,499","1,362","1,535","1,374","2,133","1,909",33.84197074,-118.30639009,46.8,Intermittent; Crosses Long Seam,94.4,External,0.060,0.025,0.085,0.188,0.213,"1,295",0.840,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.271,0.269,"38,086.82","6,783.26",4.04,4.040,4.028,0.277,,,,,
12170,InVista,"1,225",1.282,67+67,"38,103.77",EML-12190-02,External Metal Loss,D4.47,17.49,4.47,D63.45,"2,037.65",63.45,0.270,0.273,16,26,,8.07,5.56,152,,,"1,625","1,509","1,646","1,510","2,287","2,097",33.84197062,-118.30644656,46.9,Intermittent; Adjacent Long Seam,93.9,External,0.045,0.025,0.070,0.203,0.228,"1,387",0.910,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.270,0.274,"38,103.77","6,766.55",4.041,4.042,4.033,0.277,,,,,
12170,InVista,"1,225",1.281,67+65,"38,105.68",EML-12190-03,External Metal Loss,D2.55,19.41,2.55,D61.54,"2,039.57",61.54,0.272,0.273,16,26,,0.32,0.48,162,,,"1,819","1,816","1,819","1,816","2,527","2,522",33.84197061,-118.30645305,46.9,,90.0,External,0.045,0.025,0.070,0.203,0.228,"1,387",0.906,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.272,0.275,"38,105.68","6,764.66",4.045,4.045,4.043,0.277,,,,,
12180,InVista,"1,226",1.281,67+62,"38,108.23",GW12200,Weld,D20.05,21.96,20.05,D58.98,"2,042.12",58.98,0.273,0.273,,,,,,,20.05,44,,,,,,,33.84197059,-118.30646142,46.9,,98.8,,,,,,0.246,"1,387",0.918,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.273,0.274,"38,108.23","6,762.15",4.041,4.039,3.220,0.277,,,,,
12190,InVista,"1,227",1.277,67+42,"38,128.29",GW12210,Weld,U20.05,20.05,22.15,D38.93,"2,062.18",38.93,0.274,0.274,,,,,,,22.15,224,,,,,,,33.84197045,-118.30652816,46.9,Small Laminations in Joint,99.6,,,,,,0.233,"1,387",0.908,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.274,0.275,"38,128.29","6,742.38",4.04,4.039,2.995,0.277,,,,,
12200,InVista,"1,228",1.273,67+21,"38,150.44",GW12220,Weld,D18.15,22.15,18.15,D16.78,"2,084.33",16.78,0.279,0.279,,,,,,,18.15,346,,,,,,,33.84197030,-118.30660190,47.0,,99.4,,,,,,0.258,"1,387",0.934,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.279,0.280,"38,150.44","6,720.54",4.034,4.035,3.934,0.277,,,,,
12200,InVista,"1,228",1.272,67+16,"38,154.84",Harvard Blvd. (60'W),Road Centerline (approx),U4.40,4.40,13.75,D12.38,"2,088.73",12.38,0.281,,,,,0.06,0.08,359,,,,,,,,,33.84197028,-118.30661649,47.0,"Harvard Blvd. (60'W)
67+16.2
(Alignment Sheet 4A-582)",100.0,,,,,,0.281,,,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,,8.625,0.281,0.281,"38,154.84","6,716.20",,,,0.277,,,,,
12200,InVista,"1,228",1.270,67+04,"38,167.22",AGM 17,"AGM 17
Description: Set Scribed X, -2.5 CL
Location: Torrance Blvd R/W
Map: 4A-582
(Above Descriptions from PSOMAS)",D1.37,16.78,1.37,U2101.11,"2,101.11","2,799.12",,,,,,,,,,,,,,,,,33.84197020,-118.30665781,47.0,"AGM 17
Description: Set Scribed X, -2.5 CL
Location: Torrance Blvd R/W
Map: 4A-582
(Above Descriptions from PSOMAS)",,,,,,,,,,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,,,,,"38,167.22","6,704.00",,,,0.277,,,,,
12210,InVista,"1,229",1.269,67+03,"38,168.59",GW12230,Weld,U18.15,18.15,21.98,U1.37,1.37,"2,797.76",0.279,0.279,,,,,,,21.98,283,,,,,,,33.84197013,-118.30666240,47.0,,99.7,,,,,,0.246,"1,387",0.909,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.279,0.280,"38,168.59","6,702.61",4.034,4.033,3.936,0.277,,,,,
12220,InVista,"1,230",1.265,66+80,"38,190.57",GW12240,Weld,D21.53,21.98,21.53,U23.35,23.35,"2,775.78",0.273,0.273,,,,,,,21.53,223,,,,,,,33.84196906,-118.30673560,47.1,,99.7,,,,,,0.206,"1,387",0.919,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.273,0.274,"38,190.57","6,680.21",4.041,4.040,3.169,0.277,,,,,
12220,InVista,"1,230",1.261,66+58,"38,211.93",EML-12240-01,External Metal Loss,D0.17,21.36,0.17,U44.71,44.71,"2,754.41",0.254,0.273,25,34,,0.87,0.81,51,,,"1,782","1,761","1,790","1,767","2,486","2,454",33.84196802,-118.30680664,47.2,,56.4,External,0.067,0.025,0.092,0.181,0.206,"1,387",0.923,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.254,0.259,"38,211.93","6,658.44",4.047,4.047,4.041,0.277,,,,,
12220,InVista,"1,230",1.261,66+58,"38,211.96",EML-12240-02,External Metal Loss,D0.14,21.39,0.14,U44.74,44.74,"2,754.38",0.256,0.273,24,33,,1.30,0.81,30,,,"1,749","1,711","1,772","1,732","2,462","2,406",33.84196802,-118.30680664,47.2,Adjacent Girth Weld,84.8,External,0.065,0.025,0.090,0.183,0.208,"1,387",0.920,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.256,0.265,"38,211.96","6,658.41",4.011,4.011,4.001,0.277,,,,,
12230,InVista,"1,231",1.261,66+58,"38,212.10",GW12250,Weld,U21.53,21.53,21.84,U44.88,44.88,"2,754.25",0.276,0.276,,,,,,,21.84,24,,,,,,,33.84196801,-118.30680718,47.2,,99.2,,,,,,0.230,"1,371",0.890,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.276,0.277,"38,212.10","6,658.27",4.034,4.036,3.053,0.277,,,,,
12230,InVista,"1,231",1.261,66+58,"38,212.68",EML-12250-01,External Metal Loss,U0.59,0.59,21.25,U45.46,45.46,"2,753.66",0.265,0.276,17,26,,1.18,1.05,64,,,"1,800","1,772","1,812","1,781","2,517","2,473",33.84196798,-118.30680907,47.2,,78.9,External,0.046,0.025,0.071,0.205,0.230,"1,372",0.890,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,387",8.625,0.265,0.279,"38,212.68","6,657.68",4.039,4.037,4.014,0.277,,,,,
