Global GW,Tool,Weld Number,Approx. Milepost (miles),"Approx. Map Station
 (ft)",Odometer (ft),Feature Number,Feature Description,"Distance to Nearest Weld 
(ft)","Distance to Upstream Weld 
(ft)","Distance to Downstream Weld 
(ft)","Distance to Nearest AGM 
(ft)","Distance to Upstream AGM
 (ft)","Distance to Downstream AGM  
(ft)","Wall Thickness of Joint or Boxed Metal Loss Anomaly (Median)
 (in)","Wall Thickness of Joint Only (Median) 
(in)",Max Depth (% from Joint Median),Max Depth +Tool Tolerance (% from Joint Median),"Dent Depth
 (%)",Length (in),"Width 
(in)",Orient. (deg),Pipe Lnth (ft),Long Seam Orient. (deg),"B31G mod Using Median Thickness Psafe 
(psi)","B31Gmod Using Median Thickness +Tool Tolerance Psafe 
(psi)","B31G Eff. Area Using Median Thickness Psafe 
(psi)","B31G Eff. Area Using Median Thickness +Tool Tolerance 
Psafe
 (psi)","B31G Eff. Area Using Median Thickness Pfailure 
(psi)","B31G Eff. Area Using Median Thickness +Tool Tolerance Pfailure 
(psi)",Lattitude NAD83,Longitude NAD83,"Elevation Above Mean Sea Level NAVD88
 (ft)",Comments,Valid Thickness Data Percent,Feature Type (Int/Ext/Mid),Depth of Feature (From Joint Median) (in),Depth Sizing Tolerance (in),Depth of Feature (From Joint Median +Tool Tolerance) (in),"Thickness Minimum Measured for Metal Loss (Minus Tool Tolerance) 
(in)","Thickness Minimum Measured (Tmm) 
(in)",API 579 MAOPr (psi),API 579 RSF,Piping Specifications,SMYS (ksi),MAOP Design (psi),"Nominal Pipe Diameter, OD 
(in)",T Median Measured (in),T Mean Measured (in),Distance from Launcher (ft),Station Position (ft),"Radius Inside (Median) 
(in)","Radius Inside (Mean)
 (in)","Radius Inside (Min)
 (in)",T Nominal (in),,,,,
180,InVista,22,1.621,85+58,104.13,GW200,Weld,U43.23,43.22,43.44,U91.28,91.28,"1,919.70",0.319,0.319,,,,,,,43.44,335,,,,,,,33.80037134,-118.23298891,36.7,,99.9,,,,,,0.290,"1,613",0.953,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,613",8.625,0.319,0.319,104.13,"8,558.05",4.01,4.010,2.769,0.322,,,,,
190,InVista,23,1.629,86+02,147.57,GW210,Weld,D39.96,43.44,39.96,U134.72,134.72,"1,876.26",0.315,0.315,,,,,,,39.96,188,,,,,,,33.80040431,-118.23312682,37.0,,99.8,,,,,,0.300,"1,613",0.960,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,613",8.625,0.315,0.315,147.57,"8,601.77",4.011,4.011,2.783,0.322,,,,,
200,InVista,24,1.637,86+42,187.53,GW220,Weld,U39.96,39.96,43.53,U174.68,174.68,"1,836.30",0.311,0.311,,,,,,,43.53,187,,,,,,,33.80043477,-118.23325372,37.1,,99.8,,,,,,0.291,"1,613",0.969,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,613",8.625,0.311,0.312,187.53,"8,641.98",4.014,4.012,2.831,0.322,,,,,
210,InVista,25,1.645,86+86,231.06,GW230,Weld,D43.12,43.53,43.12,U218.21,218.21,"1,792.77",0.317,0.317,,,,,,,43.12,87,,,,,,,33.80046702,-118.23339232,36.8,Small Laminations in Joint,99.5,,,,,,0.302,"1,613",0.976,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,613",8.625,0.317,0.318,231.06,"8,685.79",4.008,4.008,2.822,0.322,,,,,
210,InVista,25,1.649,87+04,249.28,LAM-230-01,Lamination,U18.22,18.22,24.91,U236.43,236.43,"1,774.55",,,,,,41.19,0.73,213,,,,,,,,,33.80048001,-118.23345050,36.7,,,Midwall,,,,,,,,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,,,,,249.28,"8,704.12",3.999,3.999,3.992,0.322,,,,,
220,InVista,26,1.653,87+29,274.19,GW240,Weld,D42.99,43.12,42.99,U261.34,261.34,"1,749.64",0.318,0.318,,,,,,,42.99,328,,,,,,,33.80049779,-118.23353005,36.5,,99.9,,,,,,0.307,"1,613",0.974,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,613",8.625,0.318,0.319,274.19,"8,729.19",4.001,4.002,2.764,0.322,,,,,
230,InVista,27,1.661,87+72,317.18,GW250,Weld,U42.99,42.99,43.47,U304.33,304.33,"1,706.65",0.320,0.320,,,,,,,43.47,114,,,,,,,33.80052885,-118.23366707,35.9,Small Lamination in Joint,99.8,,,,,,0.298,"1,613",0.967,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,613",8.625,0.320,0.321,317.18,"8,772.45",4.005,4.003,3.037,0.322,,,,,
240,InVista,28,1.670,88+16,360.64,GW260,Weld,D43.18,43.47,43.17,U347.79,347.79,"1,663.19",0.329,0.329,,,,,,,43.17,81,,,,,,,33.80056200,-118.23380506,34.6,Metal Loss (<15.0%) in Joint; Small Laminations in Joint,99.8,,,,,,0.267,"1,613",0.924,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,613",8.625,0.329,0.330,360.64,"8,816.19",3.995,3.994,2.959,0.322,,,,,
240,InVista,28,1.677,88+56,400.65,EML-260-01,External Metal Loss,D3.16,40.01,3.16,U387.80,387.80,"1,623.18",0.319,0.329,19,26,,2.62,3.47,327,,,"2,053","1,986","2,113","2,039","2,934","2,832",33.80059253,-118.23393216,33.3,,94.4,External,0.062,0.025,0.087,0.242,0.267,"1,613",0.926,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,613",8.625,0.319,0.323,400.65,"8,856.45",3.998,3.996,3.989,0.322,,,,,
250,InVista,29,1.678,88+60,403.82,GW270,Weld,U43.18,43.17,43.77,U390.97,390.97,"1,620.01",0.318,0.318,,,,,,,43.77,257,,,,,,,33.80059495,-118.23394228,33.2,Metal Loss (<15.0%) in Joint,99.9,,,,,,0.271,"1,613",0.916,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,613",8.625,0.318,0.319,403.82,"8,859.64",4.006,4.005,3.024,0.322,,,,,
