Feature Number (sequential order),Pipeline Feature,INT/ EXT (ID/OD),Odometer,Station Number,Distance to U/S weld,Distance to D/S weld,Joint Length,Defect Joint Number,Upstream (U/S) Reference Name,UpStreamDistanceFrom,DownstreamName,DownstreamDistanceTo,Diameter,Nominal Wall Thickness,Measured Wall Thickness,Pipe Grade (SMYS),Long Seam Orientation,Metal Loss Depth,Metal Loss Depth,Deformation Depth,Deformation Depth,Crack Depth,Crack Depth,Length,Width,Orientation,MOP,Modified B31.G PBURST,Modified B31.G PSAFE,Design Pressure (72% SMYS),ERF_MOP_SAFE,RPR_PBURST_100_SMYS,Effective Area P Burst,Effective Area P Safe,Group Number,Group Category,NAD 83 Latitude,NAD 83 Longitude,NAVD 88,Comments,POF Classification,Excavation/ Repair Required,SPLC Notes,Tool Type/ Technology,Length/A (x),Width/A (y)
56,Weld,,849.34,151+18,40.03,35.75,35.75,350,Bakersfield Station (142+76),849.34,Block Valve #4.46 (232+30),8078.58,10.75,0.203,,52000, 10:32,,,,,,,,,,1402,,,,,,,,,,35.37600103,-119.08575914,111.559,GIRTH WELD,,,,MFL/CLP,,
57,Weld,,885.09,151+54,35.75,39.89,39.89,360,Bakersfield Station (142+76),885.09,Block Valve #4.46 (232+30),8042.83,10.75,0.203,,52000, 02:00,,,,,,,,,,1402,,,,,,,,,,35.37599963,-119.08587895,111.531,GIRTH WELD,,,,MFL/CLP,,
58,Weld,,924.98,151+93,39.89,40.15,40.15,370,Bakersfield Station (142+76),924.98,Block Valve #4.46 (232+30),8002.93,10.75,0.203,,52000, 10:56,,,,,,,,,,1402,,,,,,,,,,35.37599894,-119.08601262,111.710,GIRTH WELD,,,,MFL/CLP,,
59,Weld,,965.13,152+33,40.15,40.07,40.07,380,Bakersfield Station (142+76),965.13,Block Valve #4.46 (232+30),7962.79,10.75,0.203,,52000, 01:00,,,,,,,,,,1402,,,,,,,,,,35.37599890,-119.08614717,111.575,GIRTH WELD,,,,MFL/CLP,,
60,Weld,,1005.19,152+73,40.07,39.94,39.94,390,Bakersfield Station (142+76),1005.19,Block Valve #4.46 (232+30),7922.72,10.75,0.203,,52000, 11:04,,,,,,,,,,1402,,,,,,,,,,35.37599888,-119.08628145,111.442,GIRTH WELD,,,,MFL/CLP,,
61,Weld,,1045.14,153+13,39.94,39.83,39.83,400,Bakersfield Station (142+76),1045.14,Block Valve #4.46 (232+30),7882.78,10.75,0.203,,52000, 02:32,,,,,,,,,,1402,,,,,,,,,,35.37599913,-119.08641529,111.394,GIRTH WELD,,,,MFL/CLP,,
62,Weld,,1084.97,153+52,39.83,40.01,40.01,410,Bakersfield Station (142+76),1084.97,Block Valve #4.46 (232+30),7842.95,10.75,0.203,,52000, 11:20,,,,,,,,,,1402,,,,,,,,,,35.37599927,-119.08654880,111.510,GIRTH WELD,,,,MFL/CLP,,
63,Weld,,1124.98,153+92,40.01,38.41,38.41,420,Bakersfield Station (142+76),1124.98,Block Valve #4.46 (232+30),7802.94,10.75,0.203,,52000, 12:32,,,,,,,,,,1402,,,,,,,,,,35.37599866,-119.08668289,111.349,GIRTH WELD,,,,MFL/CLP,,
64,Anomaly - Corrosion Cluster,EXT,1162.37,154+29,37.39,1.02,38.41,420,Bakersfield Station (142+76),1162.37,Block Valve #4.46 (232+30),7765.55,10.75,0.203,,52000, 12:32,21,0.04,,,,,1.0,0.6, 06:55,1402,2284,1645,1414,0.853,1.163,2321.4,1671.4,,,35.37599855,-119.08680816,111.631,EXT ML,Pitting,,,MFL/CLP,,
65,Weld,,1163.39,154+30,38.41,38.11,38.11,430,Bakersfield Station (142+76),1163.39,Block Valve #4.46 (232+30),7764.53,10.75,0.203,,52000, 10:36,,,,,,,,,,1402,,,,,,,,,,35.37599856,-119.08681158,111.643,GIRTH WELD,,,,MFL/CLP,,
66,Weld,,1201.50,154+68,38.11,0.89,0.89,440,Bakersfield Station (142+76),1201.50,Block Valve #4.46 (232+30),7726.41,10.75,0.203,,52000,,,,,,,,,,,1402,,,,,,,,,,35.37599957,-119.08693926,111.118,GIRTH WELD,,,,MFL/CLP,,
67,Weld - Bend Begin,,1202.39,154+69,0.89,6.63,6.63,450,Bakersfield Station (142+76),1202.39,Block Valve #4.46 (232+30),7725.53,10.75,0.203,,52000,,,,,,,,,,,1402,,,,,,,,,,35.37599965,-119.08694223,111.084,GIRTH WELD,,,,MFL/CLP,,
68,Bend,,1205.70,154+72,3.32,6.63,6.63,450,Bakersfield Station (142+76),1205.70,Block Valve #4.46 (232+30),7722.21,10.75,0.203,,52000,,,,,,,,,,,1402,,,,,,,,,,35.37599651,-119.08695236,111.005,5.0D 90 DEG BEND-FORGED LEFT,,,,MFL/CLP,,
69,Anomaly - Corrosion Cluster,EXT,1208.82,154+75,6.44,0.20,6.63,450,Bakersfield Station (142+76),1208.82,Block Valve #4.46 (232+30),7719.09,10.75,0.203,,52000,,23,0.05,,,,,1.0,1.0, 04:10,1402,2274,1637,1414,0.857,1.158,2320.1,1670.5,,,35.37598895,-119.08695666,111.052,EXT ML,Pitting,,,MFL/CLP,,
70,Weld - Bend End,,1209.02,154+75,6.63,1.17,1.17,460,Bakersfield Station (142+76),1209.02,Block Valve #4.46 (232+30),7718.89,10.75,0.203,,52000,,,,,,,,,,,1402,,,,,,,,,,35.37598842,-119.08695669,111.059,GIRTH WELD,,,,MFL/CLP,,
71,Weld,,1210.19,154+76,1.17,28.14,28.14,470,Bakersfield Station (142+76),1210.19,Block Valve #4.46 (232+30),7717.73,10.75,0.203,,52000, 01:56,,,,,,,,,,1402,,,,,,,,,,35.37598522,-119.08695660,111.086,GIRTH WELD,,,,MFL/CLP,,
72,Anomaly - Corrosion,EXT,1221.77,154+88,11.59,16.56,28.14,470,Bakersfield Station (142+76),1221.77,Block Valve #4.46 (232+30),7706.14,10.75,0.203,,52000, 01:56,19,0.04,,,,,0.4,0.4, 02:04,1402,2330,1678,1414,0.836,1.186,2327.4,1675.8,,,35.37595352,-119.08695498,111.295,EXT ML,Pitting,,,MFL/CLP,,
73,Weld,,1238.33,155+04,28.14,39.84,39.84,480,Bakersfield Station (142+76),1238.33,Block Valve #4.46 (232+30),7689.59,10.75,0.203,,52000, 10:12,,,,,,,,,,1402,,,,,,,,,,35.37590820,-119.08695434,111.350,GIRTH WELD,,,,MFL/CLP,,
