Feature Number (sequential order),Pipeline Feature,INT/ EXT (ID/OD),Odometer,Station Number,Distance to U/S weld,Distance to D/S weld,Joint Length,Defect Joint Number,Upstream (U/S) Reference Name,UpStreamDistanceFrom,DownstreamName,DownstreamDistanceTo,Diameter,Nominal Wall Thickness,Measured Wall Thickness,Pipe Grade (SMYS),Long Seam Orientation,Metal Loss Depth,Metal Loss Depth,Deformation Depth,Deformation Depth,Crack Depth,Crack Depth,Length,Width,Orientation,MOP,Modified B31.G PBURST,Modified B31.G PSAFE,Design Pressure (72% SMYS),ERF_MOP_SAFE,RPR_PBURST_100_SMYS,Effective Area P Burst,Effective Area P Safe,Group Number,Group Category,NAD 83 Latitude,NAD 83 Longitude,NAVD 88,Comments,POF Classification,Excavation/ Repair Required,SPLC Notes,Tool Type/ Technology,Length/A (x),Width/A (y)
2508,Anomaly - Corrosion,EXT,50608.92,652+31,2.47,35.54,38.01,14500,Block Valve #13 (625+92),2692.07,Block Valve #17.6 (932+02),27863.71,10.75,0.203,,52000, 01:24,17,0.03,,,,,0.3,0.2, 02:59,1402,2336,1682,1414,0.834,1.190,2334.9,1681.1,,,35.25641320,-119.07448646,104.108,EXT ML,Pinhole,,,MFL/CLP,,
2509,Anomaly - Corrosion,EXT,50610.26,652+32,3.82,34.20,38.01,14500,Block Valve #13 (625+92),2693.42,Block Valve #17.6 (932+02),27862.37,10.75,0.203,,52000, 01:24,27,0.06,,,,,0.5,0.4, 07:29,1402,2317,1668,1414,0.841,1.180,2311.1,1664.0,,,35.25640949,-119.07448647,104.123,EXT ML,Pitting,,,MFL/CLP,,
2510,Anomaly - Corrosion,EXT,50610.88,652+32,4.43,33.58,38.01,14500,Block Valve #13 (625+92),2694.03,Block Valve #17.6 (932+02),27861.76,10.75,0.203,,52000, 01:24,15,0.03,,,,,0.4,0.5, 07:08,1402,2334,1681,1414,0.834,1.189,2332.7,1679.5,,,35.25640780,-119.07448649,104.131,EXT ML,Pitting,,,MFL/CLP,,
2511,Anomaly - Corrosion,EXT,50611.37,652+33,4.92,33.09,38.01,14500,Block Valve #13 (625+92),2694.52,Block Valve #17.6 (932+02),27861.27,10.75,0.203,,52000, 01:24,16,0.03,,,,,0.2,0.2, 05:04,1402,2340,1684,1414,0.832,1.191,2339.1,1684.2,,,35.25640644,-119.07448649,104.135,EXT ML,Pinhole,,,MFL/CLP,,
2512,Anomaly - Corrosion,EXT,50612.09,652+34,5.65,32.37,38.01,14500,Block Valve #13 (625+92),2695.25,Block Valve #17.6 (932+02),27860.54,10.75,0.203,,52000, 01:24,15,0.03,,,,,0.2,0.2, 07:40,1402,2340,1685,1414,0.832,1.191,2339.3,1684.3,,,35.25640443,-119.07448650,104.142,EXT ML,Pinhole,,,MFL/CLP,,
2513,Anomaly - Corrosion Cluster,EXT,50637.42,652+59,30.97,7.04,38.01,14500,Block Valve #13 (625+92),2720.57,Block Valve #17.6 (932+02),27835.21,10.75,0.203,,52000, 01:24,27,0.06,,,,,4.3,4.5, 06:08,1402,1991,1434,1414,0.978,1.014,2030.8,1462.2,,,35.25633444,-119.07448676,104.398,*EXT ML,General Metal Loss,,,MFL/CLP,,
2514,Anomaly - Corrosion,EXT,50637.72,652+59,31.28,6.74,38.01,14500,Block Valve #13 (625+92),2720.88,Block Valve #17.6 (932+02),27834.91,10.75,0.203,,52000, 01:24,25,0.05,,,,,0.5,0.7, 05:41,1402,2319,1670,1414,0.840,1.181,2314.1,1666.1,,,35.25633361,-119.07448677,104.398,*EXT ML,Pitting,,,MFL/CLP,,
2515,Anomaly - Corrosion Cluster,EXT,50637.88,652+60,31.44,6.58,38.01,14500,Block Valve #13 (625+92),2721.04,Block Valve #17.6 (932+02),27834.75,10.75,0.203,,52000, 01:24,21,0.04,,,,,0.9,1.4, 04:19,1402,2295,1653,1414,0.848,1.169,2288.4,1647.7,,,35.25633315,-119.07448677,104.395,*EXT ML,Pitting,,,MFL/CLP,,
2516,Repair - Welded Sleeve Begin,,50638.37,652+60,31.92,38.01,38.01,14500,Block Valve #13 (625+92),2721.52,Block Valve #17.6 (932+02),27834.27,10.75,0.203,,52000, 01:24,,,,,,,,,,1402,,,,,,,,,,35.25633182,-119.07448678,104.396,REPAIR-SHELL START,,,,MFL/CLP,,
2517,Weld,,50644.46,652+66,38.01,15.92,15.92,14510,Block Valve #13 (625+92),2727.61,Block Valve #17.6 (932+02),27828.17,10.75,0.203,,52000, 10:12,,,,,,,,,,1402,,,,,,,,,,35.25631500,-119.07448687,104.388,GIRTH WELD,,,,MFL/CLP,,
2518,Repair - Welded Sleeve End,,50646.50,652+68,2.04,15.92,15.92,14510,Block Valve #13 (625+92),2729.65,Block Valve #17.6 (932+02),27826.14,10.75,0.203,,52000, 10:12,,,,,,,,,,1402,,,,,,,,,,35.25630936,-119.07448686,104.374,REPAIR-SHELL END,,,,MFL/CLP,,
2519,Anomaly - Corrosion,EXT,50647.37,652+69,2.91,13.00,15.92,14510,Block Valve #13 (625+92),2730.53,Block Valve #17.6 (932+02),27825.26,10.75,0.203,,52000, 10:12,15,0.03,,,,,0.5,0.8, 05:58,1402,2329,1677,1414,0.836,1.186,2326.9,1675.4,,,35.25630693,-119.07448687,104.368,EXT ML,Pitting,,,MFL/CLP,,
2520,Anomaly - Corrosion Cluster,EXT,50651.97,652+74,7.51,8.41,15.92,14510,Block Valve #13 (625+92),2735.12,Block Valve #17.6 (932+02),27820.67,10.75,0.203,,52000, 10:12,20,0.04,,,,,1.3,0.7, 07:19,1402,2255,1624,1414,0.864,1.148,2304.1,1658.9,,,35.25629424,-119.07448685,104.345,EXT ML,Pitting,,,MFL/CLP,,
2521,Anomaly - Corrosion,EXT,50652.23,652+74,7.78,8.14,15.92,14510,Block Valve #13 (625+92),2735.39,Block Valve #17.6 (932+02),27820.40,10.75,0.203,,52000, 10:12,18,0.04,,,,,0.2,0.2, 07:15,1402,2339,1684,1414,0.833,1.191,2338.7,1683.9,,,35.25629351,-119.07448684,104.345,EXT ML,Pinhole,,,MFL/CLP,,
2522,Anomaly - Corrosion,EXT,50652.29,652+74,7.83,8.09,15.92,14510,Block Valve #13 (625+92),2735.44,Block Valve #17.6 (932+02),27820.34,10.75,0.203,,52000, 10:12,15,0.03,,,,,0.2,0.2, 08:32,1402,2340,1685,1414,0.832,1.191,2339.3,1684.3,,,35.25629335,-119.07448684,104.345,EXT ML,Pinhole,,,MFL/CLP,,
2523,Anomaly - Corrosion,EXT,50653.56,652+75,9.10,6.82,15.92,14510,Block Valve #13 (625+92),2736.71,Block Valve #17.6 (932+02),27819.08,10.75,0.203,,52000, 10:12,21,0.04,,,,,0.2,0.2, 07:55,1402,2339,1684,1414,0.833,1.191,2338.1,1683.5,,,35.25628985,-119.07448683,104.340,EXT ML,Pinhole,,,MFL/CLP,,
2524,Anomaly - Corrosion,EXT,50656.07,652+78,11.61,4.30,15.92,14510,Block Valve #13 (625+92),2739.23,Block Valve #17.6 (932+02),27816.56,10.75,0.203,,52000, 10:12,22,0.04,,,,,0.2,0.2, 06:43,1402,2339,1684,1414,0.833,1.191,2337.9,1683.3,,,35.25628289,-119.07448681,104.327,EXT ML,Pinhole,,,MFL/CLP,,
2525,Anomaly - Corrosion,EXT,50656.37,652+78,11.91,4.01,15.92,14510,Block Valve #13 (625+92),2739.52,Block Valve #17.6 (932+02),27816.26,10.75,0.203,,52000, 10:12,15,0.03,,,,,0.2,0.2, 06:52,1402,2340,1685,1414,0.832,1.191,2339.3,1684.3,,,35.25628206,-119.07448681,104.324,EXT ML,Pinhole,,,MFL/CLP,,
2526,Repair - Welded Sleeve Begin,,50659.08,652+81,14.62,15.92,15.92,14510,Block Valve #13 (625+92),2742.23,Block Valve #17.6 (932+02),27813.56,10.75,0.203,,52000, 10:12,,,,,,,,,,1402,,,,,,,,,,35.25627459,-119.07448679,104.308,REPAIR-SHELL START,,,,MFL/CLP,,
2527,Weld,,50660.37,652+82,15.92,39.99,39.99,14520,Block Valve #13 (625+92),2743.53,Block Valve #17.6 (932+02),27812.26,10.75,0.203,,52000, 11:12,,,,,,,,,,1402,,,,,,,,,,35.25627100,-119.07448677,104.304,GIRTH WELD,,,,MFL/CLP,,
2528,Repair - Welded Sleeve End,,50661.70,652+83,1.32,39.99,39.99,14520,Block Valve #13 (625+92),2744.85,Block Valve #17.6 (932+02),27810.94,10.75,0.203,,52000, 11:12,,,,,,,,,,1402,,,,,,,,,,35.25626734,-119.07448677,104.302,REPAIR-SHELL END,,,,MFL/CLP,,
2529,Anomaly - Corrosion,EXT,50662.19,652+84,1.81,38.18,39.99,14520,Block Valve #13 (625+92),2745.34,Block Valve #17.6 (932+02),27810.44,10.75,0.203,,52000, 11:12,22,0.04,,,,,0.2,0.2, 07:56,1402,2339,1684,1414,0.833,1.191,2337.9,1683.3,,,35.25626599,-119.07448677,104.302,EXT ML,Pinhole,,,MFL/CLP,,
2530,Anomaly - Corrosion Cluster,EXT,50662.42,652+84,2.04,37.95,39.99,14520,Block Valve #13 (625+92),2745.57,Block Valve #17.6 (932+02),27810.21,10.75,0.203,,52000, 11:12,27,0.06,,,,,0.4,1.3, 07:45,1402,2324,1673,1414,0.838,1.183,2321.5,1671.5,,,35.25626535,-119.07448677,104.299,EXT ML,Circumferential Grooving,,,MFL/CLP,,
2531,Anomaly - Corrosion,EXT,50662.55,652+84,2.18,37.82,39.99,14520,Block Valve #13 (625+92),2745.71,Block Valve #17.6 (932+02),27810.08,10.75,0.203,,52000, 11:12,19,0.04,,,,,0.2,0.2, 07:39,1402,2339,1684,1414,0.833,1.191,2338.5,1683.8,,,35.25626498,-119.07448677,104.299,EXT ML,Pinhole,,,MFL/CLP,,
2532,Anomaly - Corrosion,EXT,50662.86,652+85,2.49,37.50,39.99,14520,Block Valve #13 (625+92),2746.02,Block Valve #17.6 (932+02),27809.77,10.75,0.203,,52000, 11:12,18,0.04,,,,,0.5,0.4, 07:53,1402,2327,1675,1414,0.837,1.185,2323.4,1672.8,,,35.25626412,-119.07448677,104.300,EXT ML,Pitting,,,MFL/CLP,,
