J. no.,J. len [ft],t [in],to u/s w. [ft],to d/s w. [ft],o'clock,Log Distance,Severity Rule,event,depth [%],OD Reduction,length [in],width [in],internal,ERF - 0.85dl,RPR - 0.85dl,SMYS [psi],Comment,Latitude ,Longitude 
1730,44.67,0.219,,,,6815.30,,Girth Weld,,,,,,,,52000,,47.72833780,-103.29937797
1740,44.73,0.219,,,,6859.97,,Girth Weld,,,,,,,,52000,,47.72835003,-103.29956183
1750,44.57,0.219,,,,6904.70,,Girth Weld,,,,,,,,52000,,47.72834800,-103.29974771
1760,40.32,0.219,,,,6949.27,,Girth Weld,,,,,,,,52000,,47.72834648,-103.29993295
1770,44.67,0.219,,,,6989.59,,Girth Weld,,,,,,,,52000,,47.72834639,-103.30010048
1780,44.6,0.219,,,,7034.26,,Girth Weld,,,,,,,,52000,,47.72834739,-103.30028601
1790,44.64,0.219,,,,7078.86,,Girth Weld,,,,,,,,52000,,47.72834853,-103.30047113
1800,44.29,0.219,,,,7123.51,,Girth Weld,,,,,,,,52000,,47.72834899,-103.30065651
1810,44.67,0.219,,,,7167.80,,Girth Weld,,,,,,,,52000,,47.72835005,-103.30084029
1820,44.65,0.219,,,,7212.47,,Girth Weld,,,,,,,,52000,,47.72835133,-103.30102529
1830,44.66,0.219,,,,7257.12,,Girth Weld,,,,,,,,52000,,47.72835330,-103.30120960
1840,44.67,0.219,,,,7301.78,,Girth Weld,,,,,,,,52000,,47.72835445,-103.30139395
1850,44.68,0.219,,,,7346.45,,Girth Weld,,,,,,,,52000,,47.72835592,-103.30157848
1860,44.68,0.219,,,,7391.13,,Girth Weld,,,,,,,,52000,,47.72835782,-103.30176315
1870,44.67,0.219,,,,7435.80,,Girth Weld,,,,,,,,52000,,47.72835962,-103.30194813
1880,44.68,0.219,,,,7480.48,,Girth Weld,,,,,,,,52000,,47.72836187,-103.30213356
1890,44.68,0.219,,,,7525.15,,Girth Weld,,,,,,,,52000,,47.72836377,-103.30231915
1900,44.65,0.219,,,,7569.83,,Girth Weld,,,,,,,,52000,,47.72836665,-103.30250477
1910,43.54,0.219,,,,7614.48,,Girth Weld,,,,,,,,52000,,47.72836953,-103.30269010
1920,44.37,0.219,,,,7658.02,,Girth Weld,,,,,,,,52000,,47.72837254,-103.30287099
1930,41.47,0.219,,,,7702.39,,Girth Weld,,,,,,,,52000,,47.72837535,-103.30305509
1930,41.47,0.219,-9.09,32.39,04:09,7711.48,,metal loss-manufacturing anomaly,10,,2.13,1.70,N/A,,,,,47.72837595,-103.30309275
1940,44.2,0.219,,,,7743.86,,Girth Weld,,,,,,,,52000,,47.72837847,-103.30322696
