Feature Number (sequential order),Pipeline Feature,Empty odl Standard featurename,INT/ EXT (ID/OD),Odometer,Station Number,Distance to U/S weld,Distance to D/S weld,Joint Length,Defect Joint Number,Upstream (U/S) Reference name,US Dist from,Downstream (D/S) Reference name ,ds distance to,Diameter,Nominal Wall Thickness,Measured Wall Thickness,Pipe Grade (SMYS),Long Seam Orientation,Metal Loss Depth,Metal Loss Depth,Deformation Depth,Deformation Depth,Crack Depth,Crack Depth,Length,Width,Orientation,MOP,Modified B31.G PBURST,Modified B31.G PSAFE,Design Pressure (72% SMYS),ERF MOP _SAFE,RPR PBURST    /      100% SMYS,Effective Area pburst,effsagepsafe,Group Number,Group Category,Nad 83 Latitude,NAD 83 Longitude,NAVD88 Elevation,Comments,POF classification,Excavation/ Repair Required,SPLC Notes,Tool Type/ Technology,Length/A (x),Width/A (y)
40,Weld - Change in wall thickness,,,330.24,03+31,15.19,57.1,57.1,100,Launch Valve - Rio Bravo Station (0+00),330.24,Block Valve  BV 7.14 (377+16),37310.3,16,0.25,,52000, 12:40,,,,,,,,,,1170,,,1170,,,,,,,35.4345108,-119.269454,319.7,GIRTH WELD NWT 0.344/0.250IN,,,,MFL/CLP,,
41,Repair - Welded sleeve end,,,333.33,03+34,3.09,54.01,57.1,100,Launch Valve - Rio Bravo Station (0+00),333.33,Block Valve  BV 7.14 (377+16),37307.21,16,0.25,,52000,,,,,,,,,,,1170,,,1170,,,,,,,35.4345193,-119.2694539,319.7,REPAIR-SHELL END,,,,MFL/CLP,,
42,Weld,,,387.34,03+88,57.1,7.88,7.87,110,Launch Valve - Rio Bravo Station (0+00),387.34,Block Valve  BV 7.14 (377+16),37253.19,16,0.25,,52000, 12:48,,,,,,,,,,1170,,,1170,,,,,,,35.4346678,-119.2694517,319.4,GIRTH WELD,,,,MFL/CLP,,
43,Weld,,,395.22,03+96,7.87,60.23,60.23,120,Launch Valve - Rio Bravo Station (0+00),395.22,Block Valve  BV 7.14 (377+16),37245.32,16,0.25,,52000, 11:56,,,,,,,,,,1170,,,1170,,,,,,,35.4346894,-119.2694514,319.3,GIRTH WELD,,,,MFL/CLP,,
44,Repair - Welded sleeve begin,,,404.05,04+05,8.84,51.39,60.23,120,Launch Valve - Rio Bravo Station (0+00),404.05,Block Valve  BV 7.14 (377+16),37236.48,16,0.25,,52000,,,,,,,,,,,1170,,,1170,,,,,,,35.4347137,-119.2694511,319.1,REPAIR-SHELL START,,,,MFL/CLP,,
45,Repair - Welded sleeve end,,,409.16,04+10,13.94,46.29,60.23,120,Launch Valve - Rio Bravo Station (0+00),409.16,Block Valve  BV 7.14 (377+16),37231.38,16,0.25,,52000,,,,,,,,,,,1170,,,1170,,,,,,,35.4347277,-119.2694509,319.1,REPAIR-SHELL END,,,,MFL/CLP,,
46,Repair - Welded sleeve begin,,,416.16,04+17,20.94,39.29,60.23,120,Launch Valve - Rio Bravo Station (0+00),416.16,Block Valve  BV 7.14 (377+16),37224.38,16,0.25,,52000,,,,,,,,,,,1170,,,1170,,,,,,,35.434747,-119.2694508,319,REPAIR-SHELL START,,,,MFL/CLP,,
47,Repair - Welded sleeve end,,,431.41,04+32,36.19,24.04,60.23,120,Launch Valve - Rio Bravo Station (0+00),431.41,Block Valve  BV 7.14 (377+16),37209.12,16,0.25,,52000,,,,,,,,,,,1170,,,1170,,,,,,,35.4347889,-119.2694503,319.3,REPAIR-SHELL END,,,,MFL/CLP,,
48,Weld,,,455.45,04+56,60.23,60.25,60.26,130,Launch Valve - Rio Bravo Station (0+00),455.45,Block Valve  BV 7.14 (377+16),37185.09,16,0.25,,52000, 10:08,,,,,,,,,,1170,,,1170,,,,,,,35.434855,-119.2694494,319.8,GIRTH WELD,,,,MFL/CLP,,
49,Anomaly - Corrosion,,INT,469.85,04+71,14.4,45.85,60.26,130,Launch Valve - Rio Bravo Station (0+00),469.85,Block Valve  BV 7.14 (377+16),37170.68,16,0.25,,52000,,16,0.04,,,,,0.4,0.4, 06:01,1170,1935,1393,1170,0.84,1.19,1934,1392,,,35.4348946,-119.2694489,319.9, INT ML,Pinhole,,,MFL/CLP,,
