Feature Number (sequential order),Vendor-Specific Feature Name,Standard Feature Name,INT/ EXT (ID/OD),Odometer,Station Number,Distance to U/S weld,Distance to D/S weld,Joint Length,Defect Joint Number,Upstream (U/S) Reference Name,Upstream (U/S) Reference Distance From,Downstream (D/S) Reference Name,Downstream (D/S) Reference Distance To,Diameter,Nominal Wall Thickness,Measured Wall Thickness,Pipe Grade (SMYS),Long Seam Orientation,Metal Loss Depth,Metal Loss Depth,Deformation Depth,Deformation Depth,Crack Depth,Crack Depth,Length,Width,Orientation,MOP,Modified B31.G Pburst,Modified B31.G Psafe,Design Pressure (72% SMYS),ERF,RPR,Effective Area Pburst,Effective Area Psafe,Group Number,Group Category,NAD 83 Latittude,NAD 83 Longititude,NAVD 88 elevation,Comments,POF classification,Excavation/ Repair Required,SPLC Notes,Tool Type/ Technology,Length/A (x),Width/A (y)
300,Weld,Weld - Longitudinal seam,,483.37,480+29,,,40.84,290,"Valve (Launcher), Sta. 485+11, Lost Hill 2",483.37,"AGM 1, Sta. 457+00, PLM E/S of RD @ MP 8.5- from 2017 Data","2,336.05",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6507996,-119.7462305,,,,,,MFL+DEF (xHD),,
310,Weld,Weld - Longitudinal seam,,524.21,479+88,,,40.46,300,"Valve (Launcher), Sta. 485+11, Lost Hill 2",524.21,"AGM 1, Sta. 457+00, PLM E/S of RD @ MP 8.5- from 2017 Data","2,295.21",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6508817,-119.7463244,,,,,,MFL+DEF (xHD),,
320,Weld,Weld - Longitudinal seam,,564.66,479+48,,,40.77,310,"Valve (Launcher), Sta. 485+11, Lost Hill 2",564.66,"AGM 1, Sta. 457+00, PLM E/S of RD @ MP 8.5- from 2017 Data","2,254.76",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6509637,-119.7464178,,,,,,MFL+DEF (xHD),,
330,Weld,Weld - Longitudinal seam,,605.43,479+07,,,40.69,320,"Valve (Launcher), Sta. 485+11, Lost Hill 2",605.43,"AGM 1, Sta. 457+00, PLM E/S of RD @ MP 8.5- from 2017 Data","2,213.99",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6510455,-119.7465106,,,,,,MFL+DEF (xHD),,
340,Weld,Weld - Longitudinal seam,,646.13,478+67,,,40.38,330,"Valve (Launcher), Sta. 485+11, Lost Hill 2",646.13,"AGM 1, Sta. 457+00, PLM E/S of RD @ MP 8.5- from 2017 Data","2,173.30",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6511271,-119.7466028,,,,,,MFL+DEF (xHD),,
350,Weld,Weld - Longitudinal seam,,686.51,478+27,,,40.25,340,"Valve (Launcher), Sta. 485+11, Lost Hill 2",686.51,"AGM 1, Sta. 457+00, PLM E/S of RD @ MP 8.5- from 2017 Data","2,132.91",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6512106,-119.7466968,,,,,,MFL+DEF (xHD),,
360,Weld,Weld - Longitudinal seam,,726.76,477+86,,,40.72,350,"Valve (Launcher), Sta. 485+11, Lost Hill 2",726.76,"AGM 1, Sta. 457+00, PLM E/S of RD @ MP 8.5- from 2017 Data","2,092.66",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6512929,-119.7467895,,,,,,MFL+DEF (xHD),,
370,Weld,Weld - Longitudinal seam,,767.48,477+46,,,40.69,360,"Valve (Launcher), Sta. 485+11, Lost Hill 2",767.48,"AGM 1, Sta. 457+00, PLM E/S of RD @ MP 8.5- from 2017 Data","2,051.94",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6513739,-119.7468812,,,,,,MFL+DEF (xHD),,
380,Weld,Weld - Longitudinal seam,,808.17,477+05,,,40.69,370,"Valve (Launcher), Sta. 485+11, Lost Hill 2",808.17,"AGM 1, Sta. 457+00, PLM E/S of RD @ MP 8.5- from 2017 Data","2,011.25",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6514554,-119.746975,,,,,,MFL+DEF (xHD),,
390,Weld,Weld - Longitudinal seam,,848.87,476+65,,,40.77,380,"Valve (Launcher), Sta. 485+11, Lost Hill 2",848.87,"AGM 1, Sta. 457+00, PLM E/S of RD @ MP 8.5- from 2017 Data","1,970.56",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6515379,-119.747069,,,,,,MFL+DEF (xHD),,
